"row_id","query","mapping","targets_per_query","is_multi_target","entity","predefined_type","contains_npk","contains_precast","contains_insitu","contains_ortbeton","contains_fertigteil"
"36","IfcBeam Beton NPK G C25/30 Fertigteil","Betonfertigteil normalfest","1","False","IfcBeam","","True","False","False","False","True"
"37","IfcBeam Beton NPK G C35/45 PRECAST","Betonfertigteil hochfest","1","False","IfcBeam","","True","True","False","False","False"
"38","IfcBeam Buche","Massivholz Buche Eiche kammergetrocknet gehobelt | Massivholz Buche Eiche kammergetrocknet rau | Massivholz Buche Eiche luftgetrocknet rau","3","True","IfcBeam","","False","False","False","False","False"
"39","IfcBeam Eiche","Massivholz Buche Eiche kammergetrocknet gehobelt | Massivholz Buche Eiche kammergetrocknet rau | Massivholz Buche Eiche luftgetrocknet rau","3","True","IfcBeam","","False","False","False","False","False"
"40","IfcBeam Fichte","Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau","4","True","IfcBeam","","False","False","False","False","False"
"41","IfcBeam Holz","Balkenschichtholz | Brettschichtholz | Brettsperrholz | Konstruktionsvollholz","4","True","IfcBeam","","False","False","False","False","False"
"42","IfcBeam Lärche","Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau","4","True","IfcBeam","","False","False","False","False","False"
"43","IfcBeam Stahl","Stahlprofil blank","1","False","IfcBeam","","False","False","False","False","False"
"44","IfcBeam Stahl S235","Stahlprofil blank","1","False","IfcBeam","","False","False","False","False","False"
"45","IfcBeam Stahl S235J0","Stahlprofil blank","1","False","IfcBeam","","False","False","False","False","False"
"46","IfcBeam Stahl S235JR","Stahlprofil blank","1","False","IfcBeam","","False","False","False","False","False"
"47","IfcBeam Stahl S355","Stahlprofil blank","1","False","IfcBeam","","False","False","False","False","False"
"48","IfcBeam Stahl S355J0","Stahlprofil blank","1","False","IfcBeam","","False","False","False","False","False"
"49","IfcBeam Stahl S355JR","Stahlprofil blank","1","False","IfcBeam","","False","False","False","False","False"
"50","IfcBeam Stahl S460","Stahlprofil blank","1","False","IfcBeam","","False","False","False","False","False"
"51","IfcBeam Stahlbeton","Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest","3","True","IfcBeam","","False","False","False","False","False"
"52","IfcBeam Stahlbeton Fertigteil","Betonfertigteil normalfest | Betonfertigteil hochfest","2","True","IfcBeam","","False","False","False","False","True"
"53","IfcBeam Stahlbeton INSITU","Tiefbaubeton","1","False","IfcBeam","","False","False","True","False","False"
"54","IfcBeam Stahlbeton Ortbeton","Tiefbaubeton","1","False","IfcBeam","","False","False","False","True","False"
"55","IfcBeam Stahlbeton PRECAST","Betonfertigteil normalfest | Betonfertigteil hochfest","2","True","IfcBeam","","False","True","False","False","False"
"56","IfcBeam Stahlbeton C20/25","Tiefbaubeton | Betonfertigteil normalfest","2","True","IfcBeam","","False","False","False","False","False"
"57","IfcBeam Stahlbeton C20/25 Fertigteil","Betonfertigteil normalfest","1","False","IfcBeam","","False","False","False","False","True"
"58","IfcBeam Stahlbeton C20/25 Ortbeton","Tiefbaubeton","1","False","IfcBeam","","False","False","False","True","False"
"59","IfcBeam Stahlbeton C25/30","Tiefbaubeton | Betonfertigteil normalfest","2","True","IfcBeam","","False","False","False","False","False"
"60","IfcBeam Stahlbeton C25/30 INSITU","Tiefbaubeton","1","False","IfcBeam","","False","False","True","False","False"
"61","IfcBeam Stahlbeton C25/30 PRECAST","Betonfertigteil normalfest","1","False","IfcBeam","","False","True","False","False","False"
"62","IfcBeam Stahlbeton C30/37","Tiefbaubeton | Betonfertigteil normalfest","2","True","IfcBeam","","False","False","False","False","False"
"63","IfcBeam Stahlbeton C30/37 Fertigteil","Betonfertigteil normalfest","1","False","IfcBeam","","False","False","False","False","True"
"64","IfcBeam Stahlbeton C30/37 Ortbeton","Tiefbaubeton","1","False","IfcBeam","","False","False","False","True","False"
"65","IfcBeam Stahlbeton C35/45","Tiefbaubeton | Betonfertigteil hochfest","2","True","IfcBeam","","False","False","False","False","False"
"66","IfcBeam Stahlbeton C35/45 INSITU","Tiefbaubeton","1","False","IfcBeam","","False","False","True","False","False"
"67","IfcBeam Stahlbeton C35/45 PRECAST","Betonfertigteil hochfest","1","False","IfcBeam","","False","True","False","False","False"
"68","IfcBeam Stahlbeton C40/50","Tiefbaubeton | Betonfertigteil hochfest","2","True","IfcBeam","","False","False","False","False","False"
"69","IfcBeam Stahlbeton C40/50 Ortbeton","Tiefbaubeton","1","False","IfcBeam","","False","False","False","True","False"
"70","IfcBeam Stahlbeton C40/50 PRECAST","Betonfertigteil hochfest","1","False","IfcBeam","","False","True","False","False","False"
"71","IfcBeam Stahlbeton NPK D","Tiefbaubeton","1","False","IfcBeam","","True","False","False","False","False"
"72","IfcBeam Stahlbeton NPK D C20/25 Ortbeton","Tiefbaubeton","1","False","IfcBeam","","True","False","False","True","False"
"73","IfcBeam Stahlbeton NPK E","Tiefbaubeton","1","False","IfcBeam","","True","False","False","False","False"
"74","IfcBeam Stahlbeton NPK E C25/30 PRECAST","Betonfertigteil normalfest","1","False","IfcBeam","","True","True","False","False","False"
"75","IfcBeam Stahlbeton NPK E C30/37 Fertigteil","Betonfertigteil normalfest","1","False","IfcBeam","","True","False","False","False","True"
"76","IfcBeam Stahlbeton NPK E C30/37 Ortbeton","Tiefbaubeton","1","False","IfcBeam","","True","False","False","True","False"
"77","IfcBeam Stahlbeton NPK E C35/45 PRECAST","Betonfertigteil hochfest","1","False","IfcBeam","","True","True","False","False","False"
"78","IfcBeam Stahlbeton NPK F","Tiefbaubeton","1","False","IfcBeam","","True","False","False","False","False"
"79","IfcBeam Stahlbeton NPK F C20/25 Fertigteil","Betonfertigteil normalfest","1","False","IfcBeam","","True","False","False","False","True"
"80","IfcBeam Stahlbeton NPK F C25/30 INSITU","Tiefbaubeton","1","False","IfcBeam","","True","False","True","False","False"
"81","IfcBeam Stahlbeton NPK F C40/50 Ortbeton","Tiefbaubeton","1","False","IfcBeam","","True","False","False","True","False"
"82","IfcBeam Stahlbeton NPK F C40/50 PRECAST","Betonfertigteil hochfest","1","False","IfcBeam","","True","True","False","False","False"
"83","IfcBeam Stahlbeton NPK G","Tiefbaubeton","1","False","IfcBeam","","True","False","False","False","False"
"84","IfcBeam Stahlbeton NPK G C35/45 INSITU","Tiefbaubeton","1","False","IfcBeam","","True","False","True","False","False"
"85","IfcBeam Tanne","Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau","4","True","IfcBeam","","False","False","False","False","False"
"86","IfcBeam BEAM S235","Stahlprofil blank","1","False","IfcBeam","BEAM","False","False","False","False","False"
"87","IfcBeam BEAM S355","Stahlprofil blank","1","False","IfcBeam","BEAM","False","False","False","False","False"
"88","IfcBeam BEAM S460","Stahlprofil blank","1","False","IfcBeam","BEAM","False","False","False","False","False"
"89","IfcBeam BEAM Beton","Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest","3","True","IfcBeam","BEAM","False","False","False","False","False"
"90","IfcBeam BEAM Beton Fertigteil","Betonfertigteil normalfest | Betonfertigteil hochfest","2","True","IfcBeam","BEAM","False","False","False","False","True"
"91","IfcBeam BEAM Beton INSITU","Tiefbaubeton","1","False","IfcBeam","BEAM","False","False","True","False","False"
"92","IfcBeam BEAM Beton Ortbeton","Tiefbaubeton","1","False","IfcBeam","BEAM","False","False","False","True","False"
"93","IfcBeam BEAM Beton PRECAST","Betonfertigteil normalfest | Betonfertigteil hochfest","2","True","IfcBeam","BEAM","False","True","False","False","False"
"94","IfcBeam BEAM Beton C20/25","Tiefbaubeton | Betonfertigteil normalfest","2","True","IfcBeam","BEAM","False","False","False","False","False"
"95","IfcBeam BEAM Beton C20/25 INSITU","Tiefbaubeton","1","False","IfcBeam","BEAM","False","False","True","False","False"
"96","IfcBeam BEAM Beton C20/25 PRECAST","Betonfertigteil normalfest","1","False","IfcBeam","BEAM","False","True","False","False","False"
"97","IfcBeam BEAM Beton C25/30","Tiefbaubeton | Betonfertigteil normalfest","2","True","IfcBeam","BEAM","False","False","False","False","False"
"98","IfcBeam BEAM Beton C25/30 Fertigteil","Betonfertigteil normalfest","1","False","IfcBeam","BEAM","False","False","False","False","True"
"99","IfcBeam BEAM Beton C25/30 Ortbeton","Tiefbaubeton","1","False","IfcBeam","BEAM","False","False","False","True","False"
"100","IfcBeam BEAM Beton C30/37","Tiefbaubeton | Betonfertigteil normalfest","2","True","IfcBeam","BEAM","False","False","False","False","False"
"101","IfcBeam BEAM Beton C30/37 Fertigteil","Betonfertigteil normalfest","1","False","IfcBeam","BEAM","False","False","False","False","True"
"102","IfcBeam BEAM Beton C30/37 INSITU","Tiefbaubeton","1","False","IfcBeam","BEAM","False","False","True","False","False"
"103","IfcBeam BEAM Beton C35/45","Tiefbaubeton | Betonfertigteil hochfest","2","True","IfcBeam","BEAM","False","False","False","False","False"
"104","IfcBeam BEAM Beton C35/45 Fertigteil","Betonfertigteil hochfest","1","False","IfcBeam","BEAM","False","False","False","False","True"
"105","IfcBeam BEAM Beton C35/45 Ortbeton","Tiefbaubeton","1","False","IfcBeam","BEAM","False","False","False","True","False"
"106","IfcBeam BEAM Beton C40/50","Tiefbaubeton | Betonfertigteil hochfest","2","True","IfcBeam","BEAM","False","False","False","False","False"
"107","IfcBeam BEAM Beton C40/50 Fertigteil","Betonfertigteil hochfest","1","False","IfcBeam","BEAM","False","False","False","False","True"
"108","IfcBeam BEAM Beton C40/50 Ortbeton","Tiefbaubeton","1","False","IfcBeam","BEAM","False","False","False","True","False"
"109","IfcBeam BEAM Beton NPK D","Tiefbaubeton","1","False","IfcBeam","BEAM","True","False","False","False","False"
"110","IfcBeam BEAM Beton NPK D C20/25 PRECAST","Betonfertigteil normalfest","1","False","IfcBeam","BEAM","True","True","False","False","False"
"111","IfcBeam BEAM Beton NPK D C35/45 Ortbeton","Tiefbaubeton","1","False","IfcBeam","BEAM","True","False","False","True","False"
"112","IfcBeam BEAM Beton NPK D C40/50 Ortbeton","Tiefbaubeton","1","False","IfcBeam","BEAM","True","False","False","True","False"
"113","IfcBeam BEAM Beton NPK E","Tiefbaubeton","1","False","IfcBeam","BEAM","True","False","False","False","False"
"114","IfcBeam BEAM Beton NPK E C30/37 Fertigteil","Betonfertigteil normalfest","1","False","IfcBeam","BEAM","True","False","False","False","True"
"115","IfcBeam BEAM Beton NPK E C35/45 Fertigteil","Betonfertigteil hochfest","1","False","IfcBeam","BEAM","True","False","False","False","True"
"116","IfcBeam BEAM Beton NPK F","Tiefbaubeton","1","False","IfcBeam","BEAM","True","False","False","False","False"
"117","IfcBeam BEAM Beton NPK F C25/30 Fertigteil","Betonfertigteil normalfest","1","False","IfcBeam","BEAM","True","False","False","False","True"
"118","IfcBeam BEAM Beton NPK F C25/30 Ortbeton","Tiefbaubeton","1","False","IfcBeam","BEAM","True","False","False","True","False"
"119","IfcBeam BEAM Beton NPK F C30/37 INSITU","Tiefbaubeton","1","False","IfcBeam","BEAM","True","False","True","False","False"
"120","IfcBeam BEAM Beton NPK F C40/50 Fertigteil","Betonfertigteil hochfest","1","False","IfcBeam","BEAM","True","False","False","False","True"
"121","IfcBeam BEAM Beton NPK G","Tiefbaubeton","1","False","IfcBeam","BEAM","True","False","False","False","False"
"122","IfcBeam BEAM Beton NPK G C20/25 INSITU","Tiefbaubeton","1","False","IfcBeam","BEAM","True","False","True","False","False"
"123","IfcBeam BEAM Buche","Massivholz Buche Eiche kammergetrocknet gehobelt | Massivholz Buche Eiche kammergetrocknet rau | Massivholz Buche Eiche luftgetrocknet rau","3","True","IfcBeam","BEAM","False","False","False","False","False"
"124","IfcBeam BEAM Eiche","Massivholz Buche Eiche kammergetrocknet gehobelt | Massivholz Buche Eiche kammergetrocknet rau | Massivholz Buche Eiche luftgetrocknet rau","3","True","IfcBeam","BEAM","False","False","False","False","False"
"125","IfcBeam BEAM Fichte","Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau","4","True","IfcBeam","BEAM","False","False","False","False","False"
"126","IfcBeam BEAM Holz","Balkenschichtholz | Brettschichtholz | Brettsperrholz | Konstruktionsvollholz","4","True","IfcBeam","BEAM","False","False","False","False","False"
"127","IfcBeam BEAM Lärche","Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau","4","True","IfcBeam","BEAM","False","False","False","False","False"
"128","IfcBeam BEAM Stahl","Stahlprofil blank","1","False","IfcBeam","BEAM","False","False","False","False","False"
"129","IfcBeam BEAM Stahl S235","Stahlprofil blank","1","False","IfcBeam","BEAM","False","False","False","False","False"
"130","IfcBeam BEAM Stahl S235J0","Stahlprofil blank","1","False","IfcBeam","BEAM","False","False","False","False","False"
"131","IfcBeam BEAM Stahl S235JR","Stahlprofil blank","1","False","IfcBeam","BEAM","False","False","False","False","False"
"132","IfcBeam BEAM Stahl S355","Stahlprofil blank","1","False","IfcBeam","BEAM","False","False","False","False","False"
"133","IfcBeam BEAM Stahl S355J0","Stahlprofil blank","1","False","IfcBeam","BEAM","False","False","False","False","False"
"134","IfcBeam BEAM Stahl S355JR","Stahlprofil blank","1","False","IfcBeam","BEAM","False","False","False","False","False"
"135","IfcBeam BEAM Stahl S460","Stahlprofil blank","1","False","IfcBeam","BEAM","False","False","False","False","False"
"136","IfcBeam BEAM Stahlbeton","Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest","3","True","IfcBeam","BEAM","False","False","False","False","False"
"137","IfcBeam BEAM Stahlbeton Fertigteil","Betonfertigteil normalfest | Betonfertigteil hochfest","2","True","IfcBeam","BEAM","False","False","False","False","True"
"138","IfcBeam BEAM Stahlbeton INSITU","Tiefbaubeton","1","False","IfcBeam","BEAM","False","False","True","False","False"
"139","IfcBeam BEAM Stahlbeton Ortbeton","Tiefbaubeton","1","False","IfcBeam","BEAM","False","False","False","True","False"
"140","IfcBeam BEAM Stahlbeton PRECAST","Betonfertigteil normalfest | Betonfertigteil hochfest","2","True","IfcBeam","BEAM","False","True","False","False","False"
"141","IfcBeam BEAM Stahlbeton C20/25","Tiefbaubeton | Betonfertigteil normalfest","2","True","IfcBeam","BEAM","False","False","False","False","False"
"142","IfcBeam BEAM Stahlbeton C20/25 INSITU","Tiefbaubeton","1","False","IfcBeam","BEAM","False","False","True","False","False"
"143","IfcBeam BEAM Stahlbeton C20/25 PRECAST","Betonfertigteil normalfest","1","False","IfcBeam","BEAM","False","True","False","False","False"
"144","IfcBeam BEAM Stahlbeton C25/30","Tiefbaubeton | Betonfertigteil normalfest","2","True","IfcBeam","BEAM","False","False","False","False","False"
"145","IfcBeam BEAM Stahlbeton C25/30 Fertigteil","Betonfertigteil normalfest","1","False","IfcBeam","BEAM","False","False","False","False","True"
"146","IfcBeam BEAM Stahlbeton C25/30 INSITU","Tiefbaubeton","1","False","IfcBeam","BEAM","False","False","True","False","False"
"147","IfcBeam BEAM Stahlbeton C30/37","Tiefbaubeton | Betonfertigteil normalfest","2","True","IfcBeam","BEAM","False","False","False","False","False"
"148","IfcBeam BEAM Stahlbeton C30/37 INSITU","Tiefbaubeton","1","False","IfcBeam","BEAM","False","False","True","False","False"
"149","IfcBeam BEAM Stahlbeton C30/37 PRECAST","Betonfertigteil normalfest","1","False","IfcBeam","BEAM","False","True","False","False","False"
"150","IfcBeam BEAM Stahlbeton C35/45","Tiefbaubeton | Betonfertigteil hochfest","2","True","IfcBeam","BEAM","False","False","False","False","False"
"151","IfcBeam BEAM Stahlbeton C35/45 Fertigteil","Betonfertigteil hochfest","1","False","IfcBeam","BEAM","False","False","False","False","True"
"152","IfcBeam BEAM Stahlbeton C35/45 Ortbeton","Tiefbaubeton","1","False","IfcBeam","BEAM","False","False","False","True","False"
"153","IfcBeam BEAM Stahlbeton C40/50","Tiefbaubeton | Betonfertigteil hochfest","2","True","IfcBeam","BEAM","False","False","False","False","False"
"154","IfcBeam BEAM Stahlbeton C40/50 Fertigteil","Betonfertigteil hochfest","1","False","IfcBeam","BEAM","False","False","False","False","True"
"155","IfcBeam BEAM Stahlbeton C40/50 Ortbeton","Tiefbaubeton","1","False","IfcBeam","BEAM","False","False","False","True","False"
"156","IfcBeam BEAM Stahlbeton NPK D","Tiefbaubeton","1","False","IfcBeam","BEAM","True","False","False","False","False"
"157","IfcBeam BEAM Stahlbeton NPK D C20/25 INSITU","Tiefbaubeton","1","False","IfcBeam","BEAM","True","False","True","False","False"
"158","IfcBeam BEAM Stahlbeton NPK D C20/25 PRECAST","Betonfertigteil normalfest","1","False","IfcBeam","BEAM","True","True","False","False","False"
"159","IfcBeam BEAM Stahlbeton NPK D C30/37 PRECAST","Betonfertigteil normalfest","1","False","IfcBeam","BEAM","True","True","False","False","False"
"160","IfcBeam BEAM Stahlbeton NPK D C40/50 Ortbeton","Tiefbaubeton","1","False","IfcBeam","BEAM","True","False","False","True","False"
"161","IfcBeam BEAM Stahlbeton NPK E","Tiefbaubeton","1","False","IfcBeam","BEAM","True","False","False","False","False"
"162","IfcBeam BEAM Stahlbeton NPK E C30/37 INSITU","Tiefbaubeton","1","False","IfcBeam","BEAM","True","False","True","False","False"
"163","IfcBeam BEAM Stahlbeton NPK E C35/45 Fertigteil","Betonfertigteil hochfest","1","False","IfcBeam","BEAM","True","False","False","False","True"
"164","IfcBeam BEAM Stahlbeton NPK F","Tiefbaubeton","1","False","IfcBeam","BEAM","True","False","False","False","False"
"165","IfcBeam BEAM Stahlbeton NPK F C25/30 Fertigteil","Betonfertigteil normalfest","1","False","IfcBeam","BEAM","True","False","False","False","True"
"166","IfcBeam BEAM Stahlbeton NPK F C25/30 INSITU","Tiefbaubeton","1","False","IfcBeam","BEAM","True","False","True","False","False"
"167","IfcBeam BEAM Stahlbeton NPK F C40/50 Fertigteil","Betonfertigteil hochfest","1","False","IfcBeam","BEAM","True","False","False","False","True"
"168","IfcBeam BEAM Stahlbeton NPK G","Tiefbaubeton","1","False","IfcBeam","BEAM","True","False","False","False","False"
"169","IfcBeam BEAM Stahlbeton NPK G C35/45 Ortbeton","Tiefbaubeton","1","False","IfcBeam","BEAM","True","False","False","True","False"
"170","IfcBeam BEAM Tanne","Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau","4","True","IfcBeam","BEAM","False","False","False","False","False"
"171","IfcBeam CORNICE Beton","Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest","3","True","IfcBeam","CORNICE","False","False","False","False","False"
"172","IfcBeam CORNICE Beton Fertigteil","Betonfertigteil normalfest | Betonfertigteil hochfest","2","True","IfcBeam","CORNICE","False","False","False","False","True"
"173","IfcBeam CORNICE Beton INSITU","Tiefbaubeton","1","False","IfcBeam","CORNICE","False","False","True","False","False"
"174","IfcBeam CORNICE Beton Ortbeton","Tiefbaubeton","1","False","IfcBeam","CORNICE","False","False","False","True","False"
"175","IfcBeam CORNICE Beton PRECAST","Betonfertigteil normalfest | Betonfertigteil hochfest","2","True","IfcBeam","CORNICE","False","True","False","False","False"
"176","IfcBeam CORNICE Beton C20/25","Tiefbaubeton | Betonfertigteil normalfest","2","True","IfcBeam","CORNICE","False","False","False","False","False"
"177","IfcBeam CORNICE Beton C20/25 Fertigteil","Betonfertigteil normalfest","1","False","IfcBeam","CORNICE","False","False","False","False","True"
"178","IfcBeam CORNICE Beton C20/25 INSITU","Tiefbaubeton","1","False","IfcBeam","CORNICE","False","False","True","False","False"
"179","IfcBeam CORNICE Beton C25/30","Tiefbaubeton | Betonfertigteil normalfest","2","True","IfcBeam","CORNICE","False","False","False","False","False"
"180","IfcBeam CORNICE Beton C25/30 Ortbeton","Tiefbaubeton","1","False","IfcBeam","CORNICE","False","False","False","True","False"
"181","IfcBeam CORNICE Beton C25/30 PRECAST","Betonfertigteil normalfest","1","False","IfcBeam","CORNICE","False","True","False","False","False"
"182","IfcBeam CORNICE Beton C30/37","Tiefbaubeton | Betonfertigteil normalfest","2","True","IfcBeam","CORNICE","False","False","False","False","False"
"183","IfcBeam CORNICE Beton C30/37 Ortbeton","Tiefbaubeton","1","False","IfcBeam","CORNICE","False","False","False","True","False"
"184","IfcBeam CORNICE Beton C30/37 PRECAST","Betonfertigteil normalfest","1","False","IfcBeam","CORNICE","False","True","False","False","False"
"185","IfcBeam CORNICE Beton C35/45","Tiefbaubeton | Betonfertigteil hochfest","2","True","IfcBeam","CORNICE","False","False","False","False","False"
"186","IfcBeam CORNICE Beton C35/45 Ortbeton","Tiefbaubeton","1","False","IfcBeam","CORNICE","False","False","False","True","False"
"187","IfcBeam CORNICE Beton C35/45 PRECAST","Betonfertigteil hochfest","1","False","IfcBeam","CORNICE","False","True","False","False","False"
"188","IfcBeam CORNICE Beton C40/50","Tiefbaubeton | Betonfertigteil hochfest","2","True","IfcBeam","CORNICE","False","False","False","False","False"
"189","IfcBeam CORNICE Beton C40/50 INSITU","Tiefbaubeton","1","False","IfcBeam","CORNICE","False","False","True","False","False"
"190","IfcBeam CORNICE Beton C40/50 PRECAST","Betonfertigteil hochfest","1","False","IfcBeam","CORNICE","False","True","False","False","False"
"191","IfcBeam CORNICE Beton NPK D","Tiefbaubeton","1","False","IfcBeam","CORNICE","True","False","False","False","False"
"192","IfcBeam CORNICE Beton NPK D C25/30 Ortbeton","Tiefbaubeton","1","False","IfcBeam","CORNICE","True","False","False","True","False"
"193","IfcBeam CORNICE Beton NPK D C30/37 Ortbeton","Tiefbaubeton","1","False","IfcBeam","CORNICE","True","False","False","True","False"
"194","IfcBeam CORNICE Beton NPK D C35/45 PRECAST","Betonfertigteil hochfest","1","False","IfcBeam","CORNICE","True","True","False","False","False"
"195","IfcBeam CORNICE Beton NPK E","Tiefbaubeton","1","False","IfcBeam","CORNICE","True","False","False","False","False"
"196","IfcBeam CORNICE Beton NPK E C20/25 Fertigteil","Betonfertigteil normalfest","1","False","IfcBeam","CORNICE","True","False","False","False","True"
"197","IfcBeam CORNICE Beton NPK E C30/37 PRECAST","Betonfertigteil normalfest","1","False","IfcBeam","CORNICE","True","True","False","False","False"
"198","IfcBeam CORNICE Beton NPK E C40/50 PRECAST","Betonfertigteil hochfest","1","False","IfcBeam","CORNICE","True","True","False","False","False"
"199","IfcBeam CORNICE Beton NPK G","Tiefbaubeton","1","False","IfcBeam","CORNICE","True","False","False","False","False"
"200","IfcBeam CORNICE Beton NPK G C20/25 INSITU","Tiefbaubeton","1","False","IfcBeam","CORNICE","True","False","True","False","False"
"201","IfcBeam CORNICE Beton NPK G C25/30 PRECAST","Betonfertigteil normalfest","1","False","IfcBeam","CORNICE","True","True","False","False","False"
"202","IfcBeam CORNICE Beton NPK G C35/45 Ortbeton","Tiefbaubeton","1","False","IfcBeam","CORNICE","True","False","False","True","False"
"203","IfcBeam CORNICE Beton NPK G C40/50 INSITU","Tiefbaubeton","1","False","IfcBeam","CORNICE","True","False","True","False","False"
