"row_id","entity","target"
"66","IfcBeam","Tiefbaubeton"
"67","IfcBeam","Betonfertigteil hochfest"
"68","IfcBeam","Tiefbaubeton"
"68","IfcBeam","Betonfertigteil hochfest"
"69","IfcBeam","Tiefbaubeton"
"70","IfcBeam","Betonfertigteil hochfest"
"71","IfcBeam","Tiefbaubeton"
"72","IfcBeam","Tiefbaubeton"
"73","IfcBeam","Tiefbaubeton"
"74","IfcBeam","Betonfertigteil normalfest"
"75","IfcBeam","Betonfertigteil normalfest"
"76","IfcBeam","Tiefbaubeton"
"77","IfcBeam","Betonfertigteil hochfest"
"78","IfcBeam","Tiefbaubeton"
"79","IfcBeam","Betonfertigteil normalfest"
"80","IfcBeam","Tiefbaubeton"
"81","IfcBeam","Tiefbaubeton"
"82","IfcBeam","Betonfertigteil hochfest"
"83","IfcBeam","Tiefbaubeton"
"84","IfcBeam","Tiefbaubeton"
"85","IfcBeam","Konstruktionsvollholz"
"85","IfcBeam","Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt"
"85","IfcBeam","Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt"
"85","IfcBeam","Massivholz Fichte Tanne Lärche luftgetrocknet rau"
"86","IfcBeam","Stahlprofil blank"
"87","IfcBeam","Stahlprofil blank"
"88","IfcBeam","Stahlprofil blank"
"89","IfcBeam","Tiefbaubeton"
"89","IfcBeam","Betonfertigteil normalfest"
"89","IfcBeam","Betonfertigteil hochfest"
"90","IfcBeam","Betonfertigteil normalfest"
"90","IfcBeam","Betonfertigteil hochfest"
"91","IfcBeam","Tiefbaubeton"
"92","IfcBeam","Tiefbaubeton"
"93","IfcBeam","Betonfertigteil normalfest"
"93","IfcBeam","Betonfertigteil hochfest"
"94","IfcBeam","Tiefbaubeton"
"94","IfcBeam","Betonfertigteil normalfest"
"95","IfcBeam","Tiefbaubeton"
"96","IfcBeam","Betonfertigteil normalfest"
"97","IfcBeam","Tiefbaubeton"
"97","IfcBeam","Betonfertigteil normalfest"
"98","IfcBeam","Betonfertigteil normalfest"
"99","IfcBeam","Tiefbaubeton"
"100","IfcBeam","Tiefbaubeton"
"100","IfcBeam","Betonfertigteil normalfest"
"101","IfcBeam","Betonfertigteil normalfest"
"102","IfcBeam","Tiefbaubeton"
"103","IfcBeam","Tiefbaubeton"
"103","IfcBeam","Betonfertigteil hochfest"
"104","IfcBeam","Betonfertigteil hochfest"
"105","IfcBeam","Tiefbaubeton"
"106","IfcBeam","Tiefbaubeton"
"106","IfcBeam","Betonfertigteil hochfest"
"107","IfcBeam","Betonfertigteil hochfest"
"108","IfcBeam","Tiefbaubeton"
"109","IfcBeam","Tiefbaubeton"
"110","IfcBeam","Betonfertigteil normalfest"
"111","IfcBeam","Tiefbaubeton"
"112","IfcBeam","Tiefbaubeton"
"113","IfcBeam","Tiefbaubeton"
"114","IfcBeam","Betonfertigteil normalfest"
"115","IfcBeam","Betonfertigteil hochfest"
"116","IfcBeam","Tiefbaubeton"
"117","IfcBeam","Betonfertigteil normalfest"
"118","IfcBeam","Tiefbaubeton"
"119","IfcBeam","Tiefbaubeton"
"120","IfcBeam","Betonfertigteil hochfest"
"121","IfcBeam","Tiefbaubeton"
"122","IfcBeam","Tiefbaubeton"
"123","IfcBeam","Massivholz Buche Eiche kammergetrocknet gehobelt"
"123","IfcBeam","Massivholz Buche Eiche kammergetrocknet rau"
"123","IfcBeam","Massivholz Buche Eiche luftgetrocknet rau"
"124","IfcBeam","Massivholz Buche Eiche kammergetrocknet gehobelt"
"124","IfcBeam","Massivholz Buche Eiche kammergetrocknet rau"
"124","IfcBeam","Massivholz Buche Eiche luftgetrocknet rau"
"125","IfcBeam","Konstruktionsvollholz"
"125","IfcBeam","Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt"
"125","IfcBeam","Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt"
"125","IfcBeam","Massivholz Fichte Tanne Lärche luftgetrocknet rau"
"126","IfcBeam","Balkenschichtholz"
"126","IfcBeam","Brettschichtholz"
"126","IfcBeam","Brettsperrholz"
"126","IfcBeam","Konstruktionsvollholz"
"127","IfcBeam","Konstruktionsvollholz"
"127","IfcBeam","Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt"
"127","IfcBeam","Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt"
"127","IfcBeam","Massivholz Fichte Tanne Lärche luftgetrocknet rau"
"128","IfcBeam","Stahlprofil blank"
"129","IfcBeam","Stahlprofil blank"
"130","IfcBeam","Stahlprofil blank"
"131","IfcBeam","Stahlprofil blank"
"132","IfcBeam","Stahlprofil blank"
"133","IfcBeam","Stahlprofil blank"
"134","IfcBeam","Stahlprofil blank"
"135","IfcBeam","Stahlprofil blank"
"136","IfcBeam","Tiefbaubeton"
"136","IfcBeam","Betonfertigteil normalfest"
"136","IfcBeam","Betonfertigteil hochfest"
"137","IfcBeam","Betonfertigteil normalfest"
"137","IfcBeam","Betonfertigteil hochfest"
"138","IfcBeam","Tiefbaubeton"
"139","IfcBeam","Tiefbaubeton"
"140","IfcBeam","Betonfertigteil normalfest"
"140","IfcBeam","Betonfertigteil hochfest"
"141","IfcBeam","Tiefbaubeton"
"141","IfcBeam","Betonfertigteil normalfest"
"142","IfcBeam","Tiefbaubeton"
"143","IfcBeam","Betonfertigteil normalfest"
"144","IfcBeam","Tiefbaubeton"
"144","IfcBeam","Betonfertigteil normalfest"
"145","IfcBeam","Betonfertigteil normalfest"
"146","IfcBeam","Tiefbaubeton"
"147","IfcBeam","Tiefbaubeton"
"147","IfcBeam","Betonfertigteil normalfest"
"148","IfcBeam","Tiefbaubeton"
"149","IfcBeam","Betonfertigteil normalfest"
"150","IfcBeam","Tiefbaubeton"
"150","IfcBeam","Betonfertigteil hochfest"
"151","IfcBeam","Betonfertigteil hochfest"
"152","IfcBeam","Tiefbaubeton"
"153","IfcBeam","Tiefbaubeton"
"153","IfcBeam","Betonfertigteil hochfest"
"154","IfcBeam","Betonfertigteil hochfest"
"155","IfcBeam","Tiefbaubeton"
"156","IfcBeam","Tiefbaubeton"
"157","IfcBeam","Tiefbaubeton"
"158","IfcBeam","Betonfertigteil normalfest"
"159","IfcBeam","Betonfertigteil normalfest"
"160","IfcBeam","Tiefbaubeton"
"161","IfcBeam","Tiefbaubeton"
"162","IfcBeam","Tiefbaubeton"
"163","IfcBeam","Betonfertigteil hochfest"
"164","IfcBeam","Tiefbaubeton"
"165","IfcBeam","Betonfertigteil normalfest"
"166","IfcBeam","Tiefbaubeton"
"167","IfcBeam","Betonfertigteil hochfest"
"168","IfcBeam","Tiefbaubeton"
"169","IfcBeam","Tiefbaubeton"
"170","IfcBeam","Konstruktionsvollholz"
"170","IfcBeam","Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt"
"170","IfcBeam","Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt"
"170","IfcBeam","Massivholz Fichte Tanne Lärche luftgetrocknet rau"
"171","IfcBeam","Tiefbaubeton"
"171","IfcBeam","Betonfertigteil normalfest"
"171","IfcBeam","Betonfertigteil hochfest"
"172","IfcBeam","Betonfertigteil normalfest"
"172","IfcBeam","Betonfertigteil hochfest"
"173","IfcBeam","Tiefbaubeton"
"174","IfcBeam","Tiefbaubeton"
"175","IfcBeam","Betonfertigteil normalfest"
"175","IfcBeam","Betonfertigteil hochfest"
"176","IfcBeam","Tiefbaubeton"
"176","IfcBeam","Betonfertigteil normalfest"
"177","IfcBeam","Betonfertigteil normalfest"
"178","IfcBeam","Tiefbaubeton"
"179","IfcBeam","Tiefbaubeton"
"179","IfcBeam","Betonfertigteil normalfest"
"180","IfcBeam","Tiefbaubeton"
"181","IfcBeam","Betonfertigteil normalfest"
"182","IfcBeam","Tiefbaubeton"
"182","IfcBeam","Betonfertigteil normalfest"
"183","IfcBeam","Tiefbaubeton"
"184","IfcBeam","Betonfertigteil normalfest"
"185","IfcBeam","Tiefbaubeton"
"185","IfcBeam","Betonfertigteil hochfest"
"186","IfcBeam","Tiefbaubeton"
"187","IfcBeam","Betonfertigteil hochfest"
"188","IfcBeam","Tiefbaubeton"
"188","IfcBeam","Betonfertigteil hochfest"
"189","IfcBeam","Tiefbaubeton"
"190","IfcBeam","Betonfertigteil hochfest"
"191","IfcBeam","Tiefbaubeton"
"192","IfcBeam","Tiefbaubeton"
"193","IfcBeam","Tiefbaubeton"
"194","IfcBeam","Betonfertigteil hochfest"
"195","IfcBeam","Tiefbaubeton"
"196","IfcBeam","Betonfertigteil normalfest"
"197","IfcBeam","Betonfertigteil normalfest"
"198","IfcBeam","Betonfertigteil hochfest"
"199","IfcBeam","Tiefbaubeton"
"200","IfcBeam","Tiefbaubeton"
"201","IfcBeam","Betonfertigteil normalfest"
"202","IfcBeam","Tiefbaubeton"
"203","IfcBeam","Tiefbaubeton"
"204","IfcBeam","Tiefbaubeton"
"204","IfcBeam","Betonfertigteil normalfest"
"204","IfcBeam","Betonfertigteil hochfest"
"205","IfcBeam","Betonfertigteil normalfest"
"205","IfcBeam","Betonfertigteil hochfest"
"206","IfcBeam","Tiefbaubeton"
"207","IfcBeam","Tiefbaubeton"
"208","IfcBeam","Betonfertigteil normalfest"
"208","IfcBeam","Betonfertigteil hochfest"
"209","IfcBeam","Tiefbaubeton"
"209","IfcBeam","Betonfertigteil normalfest"
"210","IfcBeam","Tiefbaubeton"
"211","IfcBeam","Betonfertigteil normalfest"
"212","IfcBeam","Tiefbaubeton"
"212","IfcBeam","Betonfertigteil normalfest"
"213","IfcBeam","Tiefbaubeton"
"214","IfcBeam","Betonfertigteil normalfest"
"215","IfcBeam","Tiefbaubeton"
"215","IfcBeam","Betonfertigteil normalfest"
"216","IfcBeam","Tiefbaubeton"
"217","IfcBeam","Betonfertigteil normalfest"
"218","IfcBeam","Tiefbaubeton"
"218","IfcBeam","Betonfertigteil hochfest"
"219","IfcBeam","Tiefbaubeton"
"220","IfcBeam","Betonfertigteil hochfest"
"221","IfcBeam","Tiefbaubeton"
"221","IfcBeam","Betonfertigteil hochfest"
"222","IfcBeam","Betonfertigteil hochfest"
"223","IfcBeam","Tiefbaubeton"
"224","IfcBeam","Tiefbaubeton"
"225","IfcBeam","Tiefbaubeton"
"226","IfcBeam","Tiefbaubeton"
"227","IfcBeam","Betonfertigteil normalfest"
"228","IfcBeam","Betonfertigteil normalfest"
"229","IfcBeam","Tiefbaubeton"
"230","IfcBeam","Betonfertigteil hochfest"
"231","IfcBeam","Tiefbaubeton"
"232","IfcBeam","Tiefbaubeton"
"233","IfcBeam","Betonfertigteil hochfest"
"234","IfcBeam","Tiefbaubeton"
"235","IfcBeam","Tiefbaubeton"
"236","IfcBeam","Tiefbaubeton"
"237","IfcBeam","Betonfertigteil normalfest"
"238","IfcBeam","Stahlprofil blank"
"239","IfcBeam","Stahlprofil blank"
"240","IfcBeam","Stahlprofil blank"
"241","IfcBeam","Tiefbaubeton"
"241","IfcBeam","Betonfertigteil normalfest"
"241","IfcBeam","Betonfertigteil hochfest"
"242","IfcBeam","Betonfertigteil normalfest"
"242","IfcBeam","Betonfertigteil hochfest"
"243","IfcBeam","Tiefbaubeton"
"244","IfcBeam","Tiefbaubeton"
"245","IfcBeam","Betonfertigteil normalfest"
"245","IfcBeam","Betonfertigteil hochfest"
"246","IfcBeam","Tiefbaubeton"
"246","IfcBeam","Betonfertigteil normalfest"
"247","IfcBeam","Tiefbaubeton"
"248","IfcBeam","Betonfertigteil normalfest"
"249","IfcBeam","Tiefbaubeton"
"249","IfcBeam","Betonfertigteil normalfest"
"250","IfcBeam","Tiefbaubeton"
"251","IfcBeam","Betonfertigteil normalfest"
"252","IfcBeam","Tiefbaubeton"
"252","IfcBeam","Betonfertigteil normalfest"
"253","IfcBeam","Betonfertigteil normalfest"
"254","IfcBeam","Tiefbaubeton"
"255","IfcBeam","Tiefbaubeton"
"255","IfcBeam","Betonfertigteil hochfest"
"256","IfcBeam","Tiefbaubeton"
"257","IfcBeam","Betonfertigteil hochfest"
"258","IfcBeam","Tiefbaubeton"
"258","IfcBeam","Betonfertigteil hochfest"
"259","IfcBeam","Betonfertigteil hochfest"
"260","IfcBeam","Tiefbaubeton"
"261","IfcBeam","Tiefbaubeton"
"262","IfcBeam","Tiefbaubeton"
"263","IfcBeam","Betonfertigteil hochfest"
"264","IfcBeam","Betonfertigteil hochfest"
"265","IfcBeam","Tiefbaubeton"
"266","IfcBeam","Tiefbaubeton"
"267","IfcBeam","Betonfertigteil normalfest"
"268","IfcBeam","Tiefbaubeton"
"269","IfcBeam","Tiefbaubeton"
"270","IfcBeam","Betonfertigteil normalfest"
"271","IfcBeam","Tiefbaubeton"
"272","IfcBeam","Tiefbaubeton"
"273","IfcBeam","Betonfertigteil normalfest"
"274","IfcBeam","Tiefbaubeton"
"275","IfcBeam","Stahlprofil blank"
"276","IfcBeam","Stahlprofil blank"
"277","IfcBeam","Stahlprofil blank"
"278","IfcBeam","Stahlprofil blank"
"279","IfcBeam","Stahlprofil blank"
"280","IfcBeam","Stahlprofil blank"
"281","IfcBeam","Stahlprofil blank"
"282","IfcBeam","Stahlprofil blank"
"283","IfcBeam","Tiefbaubeton"
"283","IfcBeam","Betonfertigteil normalfest"
"283","IfcBeam","Betonfertigteil hochfest"
"284","IfcBeam","Tiefbaubeton"
"285","IfcBeam","Tiefbaubeton"
"286","IfcBeam","Betonfertigteil normalfest"
"286","IfcBeam","Betonfertigteil hochfest"
"287","IfcBeam","Tiefbaubeton"
"287","IfcBeam","Betonfertigteil normalfest"
"288","IfcBeam","Tiefbaubeton"
"289","IfcBeam","Betonfertigteil normalfest"
"290","IfcBeam","Tiefbaubeton"
"290","IfcBeam","Betonfertigteil normalfest"
"291","IfcBeam","Tiefbaubeton"
"292","IfcBeam","Betonfertigteil normalfest"
"293","IfcBeam","Tiefbaubeton"
"293","IfcBeam","Betonfertigteil normalfest"
"294","IfcBeam","Tiefbaubeton"
"295","IfcBeam","Betonfertigteil normalfest"
"296","IfcBeam","Tiefbaubeton"
"296","IfcBeam","Betonfertigteil hochfest"
"297","IfcBeam","Tiefbaubeton"
"298","IfcBeam","Betonfertigteil hochfest"
"299","IfcBeam","Tiefbaubeton"
"299","IfcBeam","Betonfertigteil hochfest"
"300","IfcBeam","Tiefbaubeton"
"301","IfcBeam","Betonfertigteil hochfest"
"302","IfcBeam","Tiefbaubeton"
"303","IfcBeam","Tiefbaubeton"
"304","IfcBeam","Betonfertigteil hochfest"
"305","IfcBeam","Tiefbaubeton"
"306","IfcBeam","Betonfertigteil normalfest"
"307","IfcBeam","Betonfertigteil normalfest"
"308","IfcBeam","Tiefbaubeton"
"309","IfcBeam","Tiefbaubeton"
"310","IfcBeam","Tiefbaubeton"
"311","IfcBeam","Betonfertigteil normalfest"
"312","IfcBeam","Tiefbaubeton"
"313","IfcBeam","Tiefbaubeton"
"314","IfcBeam","Tiefbaubeton"
"315","IfcBeam","Betonfertigteil hochfest"
"316","IfcBeam","Tiefbaubeton"
"316","IfcBeam","Betonfertigteil normalfest"
"316","IfcBeam","Betonfertigteil hochfest"
"317","IfcBeam","Betonfertigteil normalfest"
"317","IfcBeam","Betonfertigteil hochfest"
"318","IfcBeam","Tiefbaubeton"
"319","IfcBeam","Tiefbaubeton"
"320","IfcBeam","Betonfertigteil normalfest"
"320","IfcBeam","Betonfertigteil hochfest"
"321","IfcBeam","Tiefbaubeton"
"321","IfcBeam","Betonfertigteil normalfest"
"322","IfcBeam","Tiefbaubeton"
"323","IfcBeam","Betonfertigteil normalfest"
"324","IfcBeam","Tiefbaubeton"
"324","IfcBeam","Betonfertigteil normalfest"
"325","IfcBeam","Betonfertigteil normalfest"
"326","IfcBeam","Tiefbaubeton"
"327","IfcBeam","Tiefbaubeton"
"327","IfcBeam","Betonfertigteil normalfest"
"328","IfcBeam","Betonfertigteil normalfest"
"329","IfcBeam","Tiefbaubeton"
"330","IfcBeam","Tiefbaubeton"
"330","IfcBeam","Betonfertigteil hochfest"
"331","IfcBeam","Tiefbaubeton"
"332","IfcBeam","Betonfertigteil hochfest"
"333","IfcBeam","Tiefbaubeton"
"333","IfcBeam","Betonfertigteil hochfest"
"334","IfcBeam","Betonfertigteil hochfest"
"335","IfcBeam","Tiefbaubeton"
"336","IfcBeam","Tiefbaubeton"
"337","IfcBeam","Tiefbaubeton"
"338","IfcBeam","Betonfertigteil normalfest"
"339","IfcBeam","Betonfertigteil hochfest"
"340","IfcBeam","Tiefbaubeton"
"341","IfcBeam","Betonfertigteil normalfest"
"342","IfcBeam","Betonfertigteil normalfest"
"343","IfcBeam","Tiefbaubeton"
"344","IfcBeam","Tiefbaubeton"
"345","IfcBeam","Tiefbaubeton"
"346","IfcBeam","Betonfertigteil hochfest"
"347","IfcBeam","Tiefbaubeton"
"348","IfcBeam","Tiefbaubeton"
"349","IfcBeam","Tiefbaubeton"
"350","IfcBeam","Tiefbaubeton"
"350","IfcBeam","Betonfertigteil normalfest"
"350","IfcBeam","Betonfertigteil hochfest"
"351","IfcBeam","Betonfertigteil normalfest"
"351","IfcBeam","Betonfertigteil hochfest"
"352","IfcBeam","Tiefbaubeton"
"353","IfcBeam","Tiefbaubeton"
"354","IfcBeam","Tiefbaubeton"
"354","IfcBeam","Betonfertigteil normalfest"
"355","IfcBeam","Betonfertigteil normalfest"
"356","IfcBeam","Tiefbaubeton"
"357","IfcBeam","Tiefbaubeton"
"357","IfcBeam","Betonfertigteil normalfest"
"358","IfcBeam","Betonfertigteil normalfest"
"359","IfcBeam","Tiefbaubeton"
"360","IfcBeam","Tiefbaubeton"
"360","IfcBeam","Betonfertigteil normalfest"
"361","IfcBeam","Betonfertigteil normalfest"
"362","IfcBeam","Tiefbaubeton"
"363","IfcBeam","Tiefbaubeton"
"363","IfcBeam","Betonfertigteil hochfest"
"364","IfcBeam","Betonfertigteil hochfest"
"365","IfcBeam","Tiefbaubeton"
"366","IfcBeam","Tiefbaubeton"
"366","IfcBeam","Betonfertigteil hochfest"
"367","IfcBeam","Betonfertigteil hochfest"
"368","IfcBeam","Tiefbaubeton"
"369","IfcBeam","Tiefbaubeton"
"370","IfcBeam","Betonfertigteil normalfest"
"371","IfcBeam","Tiefbaubeton"
"372","IfcBeam","Betonfertigteil hochfest"
"373","IfcBeam","Tiefbaubeton"
"374","IfcBeam","Betonfertigteil normalfest"
"375","IfcBeam","Tiefbaubeton"
"376","IfcBeam","Tiefbaubeton"
"377","IfcBeam","Betonfertigteil hochfest"
"378","IfcBeam","Tiefbaubeton"
"379","IfcBeam","Tiefbaubeton"
"380","IfcBeam","Betonfertigteil normalfest"
"381","IfcBeam","Tiefbaubeton"
"382","IfcBeam","Tiefbaubeton"
"383","IfcBeam","Stahlprofil blank"
"384","IfcBeam","Stahlprofil blank"
"385","IfcBeam","Stahlprofil blank"
"386","IfcBeam","Tiefbaubeton"
"386","IfcBeam","Betonfertigteil normalfest"
"386","IfcBeam","Betonfertigteil hochfest"
"387","IfcBeam","Betonfertigteil normalfest"
"387","IfcBeam","Betonfertigteil hochfest"
"388","IfcBeam","Tiefbaubeton"
"389","IfcBeam","Tiefbaubeton"
"390","IfcBeam","Betonfertigteil normalfest"
"390","IfcBeam","Betonfertigteil hochfest"
"391","IfcBeam","Tiefbaubeton"
"391","IfcBeam","Betonfertigteil normalfest"
"392","IfcBeam","Tiefbaubeton"
"393","IfcBeam","Betonfertigteil normalfest"
"394","IfcBeam","Tiefbaubeton"
"394","IfcBeam","Betonfertigteil normalfest"
"395","IfcBeam","Betonfertigteil normalfest"
"396","IfcBeam","Tiefbaubeton"
"397","IfcBeam","Tiefbaubeton"
"397","IfcBeam","Betonfertigteil normalfest"
"398","IfcBeam","Tiefbaubeton"
"399","IfcBeam","Betonfertigteil normalfest"
"400","IfcBeam","Tiefbaubeton"
"400","IfcBeam","Betonfertigteil hochfest"
"401","IfcBeam","Betonfertigteil hochfest"
"402","IfcBeam","Tiefbaubeton"
"403","IfcBeam","Tiefbaubeton"
"403","IfcBeam","Betonfertigteil hochfest"
"404","IfcBeam","Tiefbaubeton"
"405","IfcBeam","Betonfertigteil hochfest"
"406","IfcBeam","Tiefbaubeton"
"407","IfcBeam","Tiefbaubeton"
"408","IfcBeam","Tiefbaubeton"
"409","IfcBeam","Tiefbaubeton"
"410","IfcBeam","Betonfertigteil hochfest"
"411","IfcBeam","Betonfertigteil hochfest"
"412","IfcBeam","Tiefbaubeton"
"413","IfcBeam","Betonfertigteil normalfest"
"414","IfcBeam","Tiefbaubeton"
"415","IfcBeam","Tiefbaubeton"
"416","IfcBeam","Tiefbaubeton"
"417","IfcBeam","Betonfertigteil normalfest"
"418","IfcBeam","Betonfertigteil normalfest"
"419","IfcBeam","Tiefbaubeton"
"420","IfcBeam","Stahlprofil blank"
"421","IfcBeam","Stahlprofil blank"
"422","IfcBeam","Stahlprofil blank"
"423","IfcBeam","Stahlprofil blank"
"424","IfcBeam","Stahlprofil blank"
"425","IfcBeam","Stahlprofil blank"
"426","IfcBeam","Stahlprofil blank"
"427","IfcBeam","Stahlprofil blank"
"428","IfcBeam","Tiefbaubeton"
"428","IfcBeam","Betonfertigteil normalfest"
"428","IfcBeam","Betonfertigteil hochfest"
"429","IfcBeam","Betonfertigteil normalfest"
"429","IfcBeam","Betonfertigteil hochfest"
"430","IfcBeam","Tiefbaubeton"
"431","IfcBeam","Tiefbaubeton"
"432","IfcBeam","Betonfertigteil normalfest"
"432","IfcBeam","Betonfertigteil hochfest"
"433","IfcBeam","Tiefbaubeton"
"433","IfcBeam","Betonfertigteil normalfest"
"434","IfcBeam","Betonfertigteil normalfest"
"435","IfcBeam","Tiefbaubeton"
"436","IfcBeam","Tiefbaubeton"
"436","IfcBeam","Betonfertigteil normalfest"
"437","IfcBeam","Tiefbaubeton"
"438","IfcBeam","Betonfertigteil normalfest"
"439","IfcBeam","Tiefbaubeton"
"439","IfcBeam","Betonfertigteil normalfest"
"440","IfcBeam","Betonfertigteil normalfest"
"441","IfcBeam","Tiefbaubeton"
"442","IfcBeam","Tiefbaubeton"
"442","IfcBeam","Betonfertigteil hochfest"
"443","IfcBeam","Tiefbaubeton"
"444","IfcBeam","Betonfertigteil hochfest"
"445","IfcBeam","Tiefbaubeton"
"445","IfcBeam","Betonfertigteil hochfest"
"446","IfcBeam","Tiefbaubeton"
"447","IfcBeam","Betonfertigteil hochfest"
"448","IfcBeam","Tiefbaubeton"
"449","IfcBeam","Betonfertigteil normalfest"
"450","IfcBeam","Tiefbaubeton"
"451","IfcBeam","Betonfertigteil normalfest"
"452","IfcBeam","Betonfertigteil normalfest"
"453","IfcBeam","Betonfertigteil hochfest"
"454","IfcBeam","Tiefbaubeton"
"455","IfcBeam","Tiefbaubeton"
"456","IfcBeam","Tiefbaubeton"
"457","IfcBeam","Tiefbaubeton"
"458","IfcBeam","Tiefbaubeton"
"459","IfcBeam","Tiefbaubeton"
"460","IfcBeam","Betonfertigteil hochfest"
"461","IfcBeam","Tiefbaubeton"
"461","IfcBeam","Betonfertigteil normalfest"
"461","IfcBeam","Betonfertigteil hochfest"
"462","IfcBeam","Betonfertigteil normalfest"
"462","IfcBeam","Betonfertigteil hochfest"
