model,pipeline_variant,cross_encoder_model,query_id,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,expected_rank,top1_correct,hit@1,hit@10,hit@20,hit@30,hit@50,mrr@10,ndcg@10,map@10,recall@10,top10_materials,top10_scores
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,10,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.720538,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Glasfaserbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Magerbeton | Bohrpfahlbeton | 2K-Fliessbelag Epoxidharz | Betonfertigteil normalfest | Betonfertigteil hochfest | Betonziegel,0.720538 | 0.602924 | 0.553019 | 0.542219 | 0.513107 | 0.511021 | 0.410867 | 0.393336 | 0.348342 | 0.348249
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,11,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.720538,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Glasfaserbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Magerbeton | Bohrpfahlbeton | 2K-Fliessbelag Epoxidharz | Betonfertigteil normalfest | Betonfertigteil hochfest | Betonziegel,0.720538 | 0.602924 | 0.553019 | 0.542219 | 0.513107 | 0.511021 | 0.410867 | 0.393336 | 0.348342 | 0.348249
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,12,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.720538,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Glasfaserbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Magerbeton | Bohrpfahlbeton | 2K-Fliessbelag Epoxidharz | Betonfertigteil normalfest | Betonfertigteil hochfest | Betonziegel,0.720538 | 0.602924 | 0.553019 | 0.542219 | 0.513107 | 0.511021 | 0.410867 | 0.393336 | 0.348342 | 0.348249
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,13,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.720538,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Glasfaserbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Magerbeton | Bohrpfahlbeton | 2K-Fliessbelag Epoxidharz | Betonfertigteil normalfest | Betonfertigteil hochfest | Betonziegel,0.720538 | 0.602924 | 0.553019 | 0.542219 | 0.513107 | 0.511021 | 0.410867 | 0.393336 | 0.348342 | 0.348249
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,14,IfcBearing S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Acrylnitril-Butadien-Styrol ABS,0.416173,41,False,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,Acrylnitril-Butadien-Styrol ABS | Polysulfiddichtungsmasse | Dichtungsbahn Polyolefin FPO | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Baugrubensicherung Spundwand auskragend | Polyester UP glasfaserverstärkt | Kautschukdichtungsmasse | Polyurethan PUR PIR | Polystyrol PS | Messing-/Baubronzeblech,0.416173 | 0.397419 | 0.349915 | 0.348521 | 0.347381 | 0.345643 | 0.340632 | 0.337318 | 0.335940 | 0.332875
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,15,IfcBearing Stahl,Stahlblech verzinkt,Stahlblech verzinkt,1,Stahlblech blank,0.724408,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Stahlblech blank | Stahlblech verzinkt | Stahlprofil blank | Armierungsstahl | Gusseisen | Chromstahlblech blank | Blei | Baugrubensicherung Rühlwand auskragend | Baugrubensicherung Spundwand auskragend | Messing-/Baubronzeblech,0.724408 | 0.669472 | 0.669232 | 0.494244 | 0.484572 | 0.410340 | 0.396258 | 0.371116 | 0.369270 | 0.366257
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,16,IfcBearing Elastomer,Dichtungsbahn Gummi EPDM,Dichtungsbahn Gummi EPDM,1,Acrylnitril-Butadien-Styrol ABS,0.566504,10,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.100000,0.289065,0.100000,1.000000,Acrylnitril-Butadien-Styrol ABS | Polystyrol expandiert EPS | Dichtungsbahn Polyolefin FPO | Polystyrol extrudiert XPS | Polyamid PA glasfaserverstärkt | Polyester UP glasfaserverstärkt | Silicon-Fugenmasse | Polycarbonat PC | Polyethylenvlies PE | Dichtungsbahn Gummi EPDM,0.566504 | 0.550199 | 0.547516 | 0.519561 | 0.509577 | 0.503490 | 0.502866 | 0.500705 | 0.495561 | 0.492680
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,17,IfcBearing Elastomer,Dichtungsbahn Gummi EPDM,Dichtungsbahn Gummi EPDM,1,Acrylnitril-Butadien-Styrol ABS,0.566504,10,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.100000,0.289065,0.100000,1.000000,Acrylnitril-Butadien-Styrol ABS | Polystyrol expandiert EPS | Dichtungsbahn Polyolefin FPO | Polystyrol extrudiert XPS | Polyamid PA glasfaserverstärkt | Polyester UP glasfaserverstärkt | Silicon-Fugenmasse | Polycarbonat PC | Polyethylenvlies PE | Dichtungsbahn Gummi EPDM,0.566504 | 0.550199 | 0.547516 | 0.519561 | 0.509577 | 0.503490 | 0.502866 | 0.500705 | 0.495561 | 0.492680
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,18,IfcBearing PTFE,Polyethylen PE,Polyethylen PE,1,Polyethylen PE,0.668442,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Polyethylen PE | Polyethylenfolie PE | Polyethylenvlies PE | Dichtungsbahn Polyolefin FPO | Polycarbonat PC | Polyurethan PUR PIR | Polyester UP glasfaserverstärkt | Polyamid PA glasfaserverstärkt | Polystyrol expandiert EPS | Polypropylen PP,0.668442 | 0.664591 | 0.663553 | 0.645488 | 0.612689 | 0.580567 | 0.580501 | 0.568462 | 0.561405 | 0.559562
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,19,IfcBearing Polytetrafluoroethylene,Polyethylen PE,Polyethylen PE,1,Dichtungsbahn Polyolefin FPO,0.755358,3,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.333333,0.500000,0.333333,1.000000,Dichtungsbahn Polyolefin FPO | Polyurethan PUR PIR | Polyethylen PE | Polyethylenvlies PE | Polyvinylchlorid PVC | Polypropylen PP | Acrylnitril-Butadien-Styrol ABS | Polyethylenfolie PE | Polystyrol expandiert EPS | Polystyrol PS,0.755358 | 0.744484 | 0.738089 | 0.737559 | 0.715500 | 0.701880 | 0.694812 | 0.694524 | 0.692193 | 0.684648
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,20,IfcBearing Teflon,Polyethylen PE,Polyethylen PE,1,Dichtungsbahn Polyolefin FPO,0.563661,12,False,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,Dichtungsbahn Polyolefin FPO | Polyester UP glasfaserverstärkt | Acrylnitril-Butadien-Styrol ABS | Polystyrol extrudiert XPS | Dichtungsbahn bituminös | Polystyrol expandiert EPS | Polyethylenvlies PE | Dichtungsbahn Gummi EPDM | 2-Komponenten Klebstoff | Kautschukdichtungsmasse,0.563661 | 0.513921 | 0.504540 | 0.490958 | 0.483871 | 0.481879 | 0.470262 | 0.467823 | 0.465970 | 0.463781
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,21,IfcBearing S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Acrylnitril-Butadien-Styrol ABS,0.416173,41,False,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,Acrylnitril-Butadien-Styrol ABS | Polysulfiddichtungsmasse | Dichtungsbahn Polyolefin FPO | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Baugrubensicherung Spundwand auskragend | Polyester UP glasfaserverstärkt | Kautschukdichtungsmasse | Polyurethan PUR PIR | Polystyrol PS | Messing-/Baubronzeblech,0.416173 | 0.397419 | 0.349915 | 0.348521 | 0.347381 | 0.345643 | 0.340632 | 0.337318 | 0.335940 | 0.332875
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,22,IfcBearing Stahl,Stahlblech verzinkt,Stahlblech verzinkt,1,Stahlblech blank,0.724408,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Stahlblech blank | Stahlblech verzinkt | Stahlprofil blank | Armierungsstahl | Gusseisen | Chromstahlblech blank | Blei | Baugrubensicherung Rühlwand auskragend | Baugrubensicherung Spundwand auskragend | Messing-/Baubronzeblech,0.724408 | 0.669472 | 0.669232 | 0.494244 | 0.484572 | 0.410340 | 0.396258 | 0.371116 | 0.369270 | 0.366257
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,23,IfcBearing S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Acrylnitril-Butadien-Styrol ABS,0.416173,41,False,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,Acrylnitril-Butadien-Styrol ABS | Polysulfiddichtungsmasse | Dichtungsbahn Polyolefin FPO | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Baugrubensicherung Spundwand auskragend | Polyester UP glasfaserverstärkt | Kautschukdichtungsmasse | Polyurethan PUR PIR | Polystyrol PS | Messing-/Baubronzeblech,0.416173 | 0.397419 | 0.349915 | 0.348521 | 0.347381 | 0.345643 | 0.340632 | 0.337318 | 0.335940 | 0.332875
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,24,IfcBearing Stahl,Stahlblech verzinkt,Stahlblech verzinkt,1,Stahlblech blank,0.724408,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Stahlblech blank | Stahlblech verzinkt | Stahlprofil blank | Armierungsstahl | Gusseisen | Chromstahlblech blank | Blei | Baugrubensicherung Rühlwand auskragend | Baugrubensicherung Spundwand auskragend | Messing-/Baubronzeblech,0.724408 | 0.669472 | 0.669232 | 0.494244 | 0.484572 | 0.410340 | 0.396258 | 0.371116 | 0.369270 | 0.366257
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,25,IfcBearing S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Acrylnitril-Butadien-Styrol ABS,0.416173,41,False,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,Acrylnitril-Butadien-Styrol ABS | Polysulfiddichtungsmasse | Dichtungsbahn Polyolefin FPO | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Baugrubensicherung Spundwand auskragend | Polyester UP glasfaserverstärkt | Kautschukdichtungsmasse | Polyurethan PUR PIR | Polystyrol PS | Messing-/Baubronzeblech,0.416173 | 0.397419 | 0.349915 | 0.348521 | 0.347381 | 0.345643 | 0.340632 | 0.337318 | 0.335940 | 0.332875
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,26,IfcBearing Stahl,Stahlblech verzinkt,Stahlblech verzinkt,1,Stahlblech blank,0.724408,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Stahlblech blank | Stahlblech verzinkt | Stahlprofil blank | Armierungsstahl | Gusseisen | Chromstahlblech blank | Blei | Baugrubensicherung Rühlwand auskragend | Baugrubensicherung Spundwand auskragend | Messing-/Baubronzeblech,0.724408 | 0.669472 | 0.669232 | 0.494244 | 0.484572 | 0.410340 | 0.396258 | 0.371116 | 0.369270 | 0.366257
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,27,IfcBearing S235JR,Stahlblech verzinkt,Stahlblech verzinkt,1,Acrylnitril-Butadien-Styrol ABS,0.416173,41,False,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,Acrylnitril-Butadien-Styrol ABS | Polysulfiddichtungsmasse | Dichtungsbahn Polyolefin FPO | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Baugrubensicherung Spundwand auskragend | Polyester UP glasfaserverstärkt | Kautschukdichtungsmasse | Polyurethan PUR PIR | Polystyrol PS | Messing-/Baubronzeblech,0.416173 | 0.397419 | 0.349915 | 0.348521 | 0.347381 | 0.345643 | 0.340632 | 0.337318 | 0.335940 | 0.332875
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,28,IfcBearing Stahl,Stahlblech verzinkt,Stahlblech verzinkt,1,Stahlblech blank,0.724408,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Stahlblech blank | Stahlblech verzinkt | Stahlprofil blank | Armierungsstahl | Gusseisen | Chromstahlblech blank | Blei | Baugrubensicherung Rühlwand auskragend | Baugrubensicherung Spundwand auskragend | Messing-/Baubronzeblech,0.724408 | 0.669472 | 0.669232 | 0.494244 | 0.484572 | 0.410340 | 0.396258 | 0.371116 | 0.369270 | 0.366257
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,29,IfcCaissonFoundation Beton C20/25,Tiefbaubeton | Bohrpfahlbeton,Tiefbaubeton | Bohrpfahlbeton,2,Tiefbaubeton,0.701163,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.831555,0.666667,1.000000,Tiefbaubeton | Glasfaserbeton | Magerbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Bohrpfahlbeton | 2K-Fliessbelag Epoxidharz | Betonziegel | Betonfertigteil normalfest | Betonfertigteil hochfest,0.701163 | 0.616297 | 0.574767 | 0.565296 | 0.560400 | 0.500032 | 0.458055 | 0.397509 | 0.356061 | 0.317016
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,30,IfcCaissonFoundation Stahlbeton C20/25,Tiefbaubeton | Bohrpfahlbeton,Tiefbaubeton | Bohrpfahlbeton,2,Tiefbaubeton,0.666602,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.831555,0.666667,1.000000,Tiefbaubeton | Glasfaserbeton | Magerbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Bohrpfahlbeton | 2K-Fliessbelag Epoxidharz | Betonziegel | Tiefgründung Rüttelstopfsäule | Betonfertigteil normalfest,0.666602 | 0.626302 | 0.570934 | 0.569445 | 0.556611 | 0.483351 | 0.410127 | 0.350498 | 0.300075 | 0.298957
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,31,IfcCaissonFoundation Beton C20/25,Tiefbaubeton | Bohrpfahlbeton,Tiefbaubeton | Bohrpfahlbeton,2,Tiefbaubeton,0.701163,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.831555,0.666667,1.000000,Tiefbaubeton | Glasfaserbeton | Magerbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Bohrpfahlbeton | 2K-Fliessbelag Epoxidharz | Betonziegel | Betonfertigteil normalfest | Betonfertigteil hochfest,0.701163 | 0.616297 | 0.574767 | 0.565296 | 0.560400 | 0.500032 | 0.458055 | 0.397509 | 0.356061 | 0.317016
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,32,IfcCaissonFoundation Stahlbeton C20/25,Tiefbaubeton | Bohrpfahlbeton,Tiefbaubeton | Bohrpfahlbeton,2,Tiefbaubeton,0.666602,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.831555,0.666667,1.000000,Tiefbaubeton | Glasfaserbeton | Magerbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Bohrpfahlbeton | 2K-Fliessbelag Epoxidharz | Betonziegel | Tiefgründung Rüttelstopfsäule | Betonfertigteil normalfest,0.666602 | 0.626302 | 0.570934 | 0.569445 | 0.556611 | 0.483351 | 0.410127 | 0.350498 | 0.300075 | 0.298957
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,33,IfcColumn Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.676771,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Glasfaserbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Magerbeton | Betonziegel | Bohrpfahlbeton | Betonfertigteil normalfest | Betonfertigteil hochfest | 2K-Fliessbelag Epoxidharz,0.676771 | 0.583398 | 0.545550 | 0.543084 | 0.542251 | 0.492122 | 0.435898 | 0.412532 | 0.396922 | 0.376282
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,34,IfcColumn Stahlbeton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.674014,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Glasfaserbeton | Hartbeton einschichtig | Magerbeton | Hartbeton zweischichtig | Betonziegel | Bohrpfahlbeton | Betonfertigteil hochfest | Betonfertigteil normalfest | 2K-Fliessbelag Epoxidharz,0.674014 | 0.620435 | 0.570106 | 0.567841 | 0.557727 | 0.445167 | 0.442369 | 0.366210 | 0.363197 | 0.341964
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,35,IfcColumn S235JR,Stahlprofil blank | Stahlblech verzinkt,Stahlprofil blank | Stahlblech verzinkt,2,Backstein,0.393377,2,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.571429,0.361111,1.000000,Backstein | Stahlprofil blank | Betonziegel | Kalksandstein | Gusseisen | Blei | Stahlblech blank | Rundkies | Stahlblech verzinkt | Heissbitumen,0.393377 | 0.366003 | 0.355728 | 0.349434 | 0.342849 | 0.334457 | 0.330884 | 0.323354 | 0.320855 | 0.311374
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,36,IfcColumn Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.676771,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Glasfaserbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Magerbeton | Betonziegel | Bohrpfahlbeton | Betonfertigteil normalfest | Betonfertigteil hochfest | 2K-Fliessbelag Epoxidharz,0.676771 | 0.583398 | 0.545550 | 0.543084 | 0.542251 | 0.492122 | 0.435898 | 0.412532 | 0.396922 | 0.376282
Training/artifacts/models/bge-m3-finetuned-generated_queries_without_exposure/epochs/epoch-02,baseline,-,37,IfcColumn Stahlbeton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.674014,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Glasfaserbeton | Hartbeton einschichtig | Magerbeton | Hartbeton zweischichtig | Betonziegel | Bohrpfahlbeton | Betonfertigteil hochfest | Betonfertigteil normalfest | 2K-Fliessbelag Epoxidharz,0.674014 | 0.620435 | 0.570106 | 0.567841 | 0.557727 | 0.445167 | 0.442369 | 0.366210 | 0.363197 | 0.341964
