model,query,expected_material_input,expected_material_resolved,predicted_top1,predicted_top1_score,expected_rank,expected_score,top1_correct,top5_correct,topk_materials,topk_scores
google/embeddinggemma-300m,IfcReinforcingBar Bügel B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Schlitzwand 800,0.480430,28,0.376121,False,False,Baugrubensicherung Schlitzwand 800 | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400 | Gusseisen | Tiefbaubeton,0.480430 | 0.463321 | 0.439834 | 0.432892 | 0.426313
google/embeddinggemma-300m,IfcPile BORED Betonpfahl Beton Pfahlreihe Süd 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 700,0.634282,2,0.633268,False,True,Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl,0.634282 | 0.633268 | 0.582437 | 0.578287 | 0.562441
google/embeddinggemma-300m,IfcPile BORED Betonpfahl Beton Pfahlreihe Süd 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 700,0.634282,2,0.633268,False,True,Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl,0.634282 | 0.633268 | 0.582437 | 0.578287 | 0.562441
google/embeddinggemma-300m,IfcPile BORED Betonpfahl Beton Pfahlreihe Süd 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 700,0.634282,2,0.633268,False,True,Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl,0.634282 | 0.633268 | 0.582437 | 0.578287 | 0.562441
google/embeddinggemma-300m,IfcPile BORED Betonpfahl Beton Pfahlreihe Süd 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 700,0.634282,2,0.633268,False,True,Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl,0.634282 | 0.633268 | 0.582437 | 0.578287 | 0.562441
google/embeddinggemma-300m,IfcPile BORED Betonpfahl Beton Pfahlreihe Süd 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 700,0.634282,2,0.633268,False,True,Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl,0.634282 | 0.633268 | 0.582437 | 0.578287 | 0.562441
google/embeddinggemma-300m,IfcPile BORED Betonpfahl Beton Pfahlreihe Süd 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 700,0.634282,2,0.633268,False,True,Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl,0.634282 | 0.633268 | 0.582437 | 0.578287 | 0.562441
google/embeddinggemma-300m,IfcPile BORED Betonpfahl Beton Pfahlreihe Süd 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 700,0.634282,2,0.633268,False,True,Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl,0.634282 | 0.633268 | 0.582437 | 0.578287 | 0.562441
google/embeddinggemma-300m,IfcPile BORED Betonpfahl Beton Pfahlreihe Süd 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 700,0.634282,2,0.633268,False,True,Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl,0.634282 | 0.633268 | 0.582437 | 0.578287 | 0.562441
google/embeddinggemma-300m,IfcPile BORED Betonpfahl Beton NPK F Pfahlreihe Süd 900 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,0.703594,1,0.703594,True,True,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 1200 | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl,0.703594 | 0.647419 | 0.609339 | 0.578140 | 0.573327
google/embeddinggemma-300m,IfcPile BORED Betonpfahl Beton Pfahlreihe Süd 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 700,0.634282,2,0.633268,False,True,Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl,0.634282 | 0.633268 | 0.582437 | 0.578287 | 0.562441
google/embeddinggemma-300m,IfcReinforcingBar Bügel B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Schlitzwand 800,0.480430,28,0.376121,False,False,Baugrubensicherung Schlitzwand 800 | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400 | Gusseisen | Tiefbaubeton,0.480430 | 0.463321 | 0.439834 | 0.432892 | 0.426313
google/embeddinggemma-300m,IfcReinforcingBar Längsstab B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Schlitzwand 800,0.472573,30,0.380948,False,False,Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | Bohrpfahlbeton | Baugrubensicherung Nagelwand | Baugrubensicherung Spundwand auskragend,0.472573 | 0.441577 | 0.429412 | 0.426726 | 0.426373
google/embeddinggemma-300m,IfcPile BORED Bohrpfahl Beton D600 600 Ortbeton,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,0.694234,1,0.694234,True,True,Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Tiefgründung Vorgefertigter Betonpfahl,0.694234 | 0.682154 | 0.677713 | 0.639840 | 0.601969
google/embeddinggemma-300m,IfcFooting STRIP_FOOTING Fundament Magerbeton 100*1200 Ortbeton,Magerbeton,Magerbeton,Tiefgründung Ortbetonbohrpfahl 1200,0.649968,2,0.590626,False,True,Tiefgründung Ortbetonbohrpfahl 1200 | Magerbeton | Betonfertigteil normalfest | Tiefgründung Ortbetonbohrpfahl 700 | Betonfertigteil hochfest,0.649968 | 0.590626 | 0.563756 | 0.563598 | 0.548372
google/embeddinggemma-300m,IfcBeam PIERCAP Pfahlkopf Beton NPK G Pfahlkopf-Fundament Ortbeton,Tiefbaubeton,Tiefbaubeton,Tiefgründung Vorgefertigter Betonpfahl,0.599337,10,0.525413,False,False,Tiefgründung Vorgefertigter Betonpfahl | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Bohrpfahlbeton,0.599337 | 0.578511 | 0.564453 | 0.557451 | 0.556237
google/embeddinggemma-300m,IfcFooting STRIP_FOOTING Fundament Beton NPK G Ausführung Pilgerschritt Ortbeton,Tiefbaubeton,Tiefbaubeton,Tiefgründung Vorgefertigter Betonpfahl,0.565261,6,0.516374,False,False,Tiefgründung Vorgefertigter Betonpfahl | Betonfertigteil normalfest | Betonfertigteil hochfest | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 1200,0.565261 | 0.557885 | 0.539029 | 0.534630 | 0.525198
google/embeddinggemma-300m,IfcCovering Abdichtung Flüssigkunststoff,2K-Fliessbelag Epoxidharz,2K-Fliessbelag Epoxidharz,Dichtungsbahn Gummi EPDM,0.575463,14,0.460641,False,False,Dichtungsbahn Gummi EPDM | Dichtungsbahn Polyolefin FPO | Kautschukdichtungsmasse | Polyvinylchlorid PVC | Bitumenemulsion,0.575463 | 0.571681 | 0.554529 | 0.527989 | 0.513919
google/embeddinggemma-300m,IfcSlab FLOOR Fahrbahnplatte Beton NPK D Brückenplatte Ortbeton,Tiefbaubeton,Tiefbaubeton,Betonfertigteil normalfest,0.566717,4,0.534534,False,True,Betonfertigteil normalfest | Betonfertigteil hochfest | Magerbeton | Tiefbaubeton | Holzwolle-Leichtbauplatte zementgebunden,0.566717 | 0.562821 | 0.536324 | 0.534534 | 0.528088
google/embeddinggemma-300m,IfcReinforcingBar 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Spundwand auskragend,0.429442,43,0.330140,False,False,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Rühlwand auskragend | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400,0.429442 | 0.428905 | 0.409196 | 0.400777 | 0.396191
google/embeddinggemma-300m,IfcReinforcingBar 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Spundwand auskragend,0.429442,43,0.330140,False,False,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Rühlwand auskragend | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400,0.429442 | 0.428905 | 0.409196 | 0.400777 | 0.396191
google/embeddinggemma-300m,IfcReinforcingBar 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Spundwand auskragend,0.429442,43,0.330140,False,False,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Rühlwand auskragend | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400,0.429442 | 0.428905 | 0.409196 | 0.400777 | 0.396191
google/embeddinggemma-300m,IfcReinforcingBar 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Spundwand auskragend,0.429442,43,0.330140,False,False,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Rühlwand auskragend | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400,0.429442 | 0.428905 | 0.409196 | 0.400777 | 0.396191
google/embeddinggemma-300m,IfcReinforcingBar MAIN 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Spundwand auskragend,0.403758,62,0.306029,False,False,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 800 | Bohrpfahlbeton | Baugrubensicherung Rühlwand auskragend | Betonfertigteil hochfest,0.403758 | 0.399337 | 0.395650 | 0.392160 | 0.385396
google/embeddinggemma-300m,IfcReinforcingBar 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Spundwand auskragend,0.429442,43,0.330140,False,False,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Rühlwand auskragend | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400,0.429442 | 0.428905 | 0.409196 | 0.400777 | 0.396191
google/embeddinggemma-300m,IfcReinforcingBar 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Spundwand auskragend,0.429442,43,0.330140,False,False,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Rühlwand auskragend | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400,0.429442 | 0.428905 | 0.409196 | 0.400777 | 0.396191
google/embeddinggemma-300m,IfcReinforcingBar 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Spundwand auskragend,0.429442,43,0.330140,False,False,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Rühlwand auskragend | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400,0.429442 | 0.428905 | 0.409196 | 0.400777 | 0.396191
google/embeddinggemma-300m,IfcWall RETAININGWALL Rühlwand Fertigteil,Baugrubensicherung Rühlwand auskragend,Baugrubensicherung Rühlwand auskragend,Baugrubensicherung Rühlwand auskragend,0.641581,1,0.641581,True,True,Baugrubensicherung Rühlwand auskragend | Baugrubensicherung Rühlwand verankert | Baugrubensicherung Spundwand auskragend | Baugrubensicherung Spundwand verankert | Baugrubensicherung Bohrpfahlwand verankert,0.641581 | 0.588874 | 0.588084 | 0.583287 | 0.563886
google/embeddinggemma-300m,IfcWall RETAININGWALL Widerlagerwand Nord Beton NPK G über Pfahlkopfriegel Ortbeton,Tiefbaubeton,Tiefbaubeton,Baugrubensicherung Spundwand auskragend,0.600201,12,0.527013,False,False,Baugrubensicherung Spundwand auskragend | Betonfertigteil normalfest | Baugrubensicherung Spundwand verankert | Baugrubensicherung Bohrpfahlwand verankert | Baugrubensicherung Rühlwand auskragend,0.600201 | 0.587395 | 0.586869 | 0.584731 | 0.576810
google/embeddinggemma-300m,IfcWall RETAININGWALL Widerlagerwand Süd Beton NPK G Süd Ortbeton,Tiefbaubeton,Tiefbaubeton,Baugrubensicherung Spundwand auskragend,0.586374,11,0.508424,False,False,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Spundwand verankert | Baugrubensicherung Rühlwand auskragend | Betonfertigteil normalfest | Betonfertigteil hochfest,0.586374 | 0.568839 | 0.564737 | 0.553555 | 0.550827
google/embeddinggemma-300m,IfcWall RETAININGWALL Bohrpfahlwand Ortbeton,Baugrubensicherung Bohrpfahlwand gespriesst,Baugrubensicherung Bohrpfahlwand gespriesst,Baugrubensicherung Bohrpfahlwand gespriesst,0.655736,1,0.655736,True,True,Baugrubensicherung Bohrpfahlwand gespriesst | Baugrubensicherung Bohrpfahlwand verankert | Baugrubensicherung Bohrpfahlwand unverankert | Baugrubensicherung Spundwand verankert | Baugrubensicherung Spundwand auskragend,0.655736 | 0.651782 | 0.616917 | 0.602389 | 0.601516
google/embeddinggemma-300m,IfcReinforcingBar Wendel unten B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Schlitzwand 800,0.460134,34,0.344053,False,False,Baugrubensicherung Schlitzwand 800 | Tiefbaubeton | Baugrubensicherung Schlitzwand 400 | Bohrpfahlbeton | Baugrubensicherung Spundwand auskragend,0.460134 | 0.433953 | 0.427194 | 0.422825 | 0.413107
google/embeddinggemma-300m,IfcReinforcingBar Wendel mitte B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Schlitzwand 800,0.469865,32,0.359134,False,False,Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | Bohrpfahlbeton | Tiefbaubeton | Tiefgründung Ortbetonverdrängungspfahl 560/480,0.469865 | 0.446893 | 0.427188 | 0.424670 | 0.409752
google/embeddinggemma-300m,IfcReinforcingBar Wendel oben B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Schlitzwand 800,0.466438,29,0.362050,False,False,Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | Bohrpfahlbeton | Betonfertigteil hochfest | Baugrubensicherung Nagelwand,0.466438 | 0.429667 | 0.420096 | 0.410654 | 0.409598
google/embeddinggemma-300m,IfcReinforcingBar Längsarmierung B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Schlitzwand 800,0.481872,8,0.423599,False,False,Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | Baugrubensicherung Spundwand auskragend | Dichtungsbahn Gummi EPDM | Bohrpfahlbeton,0.481872 | 0.450406 | 0.446528 | 0.436518 | 0.435436
google/embeddinggemma-300m,IfcReinforcingBar Wendelbewehrung B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Schlitzwand 800,0.485731,24,0.372627,False,False,Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | Baugrubensicherung Spundwand auskragend | Baugrubensicherung Nagelwand | Baugrubensicherung Spundwand gespriesst,0.485731 | 0.453871 | 0.415882 | 0.415586 | 0.414322
google/embeddinggemma-300m,IfcWall RETAININGWALL Bohrpfahlwand Ortbeton,Baugrubensicherung Bohrpfahlwand gespriesst,Baugrubensicherung Bohrpfahlwand gespriesst,Baugrubensicherung Bohrpfahlwand gespriesst,0.655736,1,0.655736,True,True,Baugrubensicherung Bohrpfahlwand gespriesst | Baugrubensicherung Bohrpfahlwand verankert | Baugrubensicherung Bohrpfahlwand unverankert | Baugrubensicherung Spundwand verankert | Baugrubensicherung Spundwand auskragend,0.655736 | 0.651782 | 0.616917 | 0.602389 | 0.601516
google/embeddinggemma-300m,IfcReinforcingBar 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Spundwand auskragend,0.429442,43,0.330140,False,False,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Rühlwand auskragend | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400,0.429442 | 0.428905 | 0.409196 | 0.400777 | 0.396191
google/embeddinggemma-300m,IfcReinforcingBar 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Spundwand auskragend,0.429442,43,0.330140,False,False,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Rühlwand auskragend | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400,0.429442 | 0.428905 | 0.409196 | 0.400777 | 0.396191
google/embeddinggemma-300m,IfcReinforcingBar 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Spundwand auskragend,0.429442,43,0.330140,False,False,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Rühlwand auskragend | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400,0.429442 | 0.428905 | 0.409196 | 0.400777 | 0.396191
google/embeddinggemma-300m,IfcReinforcingBar 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Spundwand auskragend,0.429442,43,0.330140,False,False,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Rühlwand auskragend | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400,0.429442 | 0.428905 | 0.409196 | 0.400777 | 0.396191
google/embeddinggemma-300m,IfcReinforcingBar 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Spundwand auskragend,0.429442,43,0.330140,False,False,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Rühlwand auskragend | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400,0.429442 | 0.428905 | 0.409196 | 0.400777 | 0.396191
google/embeddinggemma-300m,IfcReinforcingBar 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Spundwand auskragend,0.429442,43,0.330140,False,False,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Rühlwand auskragend | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400,0.429442 | 0.428905 | 0.409196 | 0.400777 | 0.396191
google/embeddinggemma-300m,IfcReinforcingBar MAIN 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Spundwand auskragend,0.403758,62,0.306029,False,False,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 800 | Bohrpfahlbeton | Baugrubensicherung Rühlwand auskragend | Betonfertigteil hochfest,0.403758 | 0.399337 | 0.395650 | 0.392160 | 0.385396
google/embeddinggemma-300m,IfcReinforcingBar 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,Baugrubensicherung Spundwand auskragend,0.429442,43,0.330140,False,False,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Rühlwand auskragend | Bohrpfahlbeton | Baugrubensicherung Schlitzwand 400,0.429442 | 0.428905 | 0.409196 | 0.400777 | 0.396191
google/embeddinggemma-300m,IfcWall RETAININGWALL Rühlwand Fertigteil,Baugrubensicherung Rühlwand auskragend,Baugrubensicherung Rühlwand auskragend,Baugrubensicherung Rühlwand auskragend,0.641581,1,0.641581,True,True,Baugrubensicherung Rühlwand auskragend | Baugrubensicherung Rühlwand verankert | Baugrubensicherung Spundwand auskragend | Baugrubensicherung Spundwand verankert | Baugrubensicherung Bohrpfahlwand verankert,0.641581 | 0.588874 | 0.588084 | 0.583287 | 0.563886
BAAI/bge-m3,IfcReinforcingBar Bügel B500B,Armierungsstahl,Armierungsstahl,Betonfertigteil hochfest,0.504151,21,0.432332,False,False,Betonfertigteil hochfest | Baugrubensicherung Schlitzwand 400 | Baugrubensicherung Schlitzwand 800 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700,0.504151 | 0.499299 | 0.484865 | 0.474721 | 0.470888
BAAI/bge-m3,IfcReinforcingBar Bügel B500B,Armierungsstahl,Armierungsstahl,Betonfertigteil hochfest,0.504151,21,0.432332,False,False,Betonfertigteil hochfest | Baugrubensicherung Schlitzwand 400 | Baugrubensicherung Schlitzwand 800 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700,0.504151 | 0.499299 | 0.484865 | 0.474721 | 0.470888
BAAI/bge-m3,IfcReinforcingBar Bügel B500B,Armierungsstahl,Armierungsstahl,Betonfertigteil hochfest,0.504151,21,0.432332,False,False,Betonfertigteil hochfest | Baugrubensicherung Schlitzwand 400 | Baugrubensicherung Schlitzwand 800 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700,0.504151 | 0.499299 | 0.484865 | 0.474721 | 0.470888
