model,query,expected_material_input,expected_material_resolved,predicted_top1,predicted_top1_score,expected_rank,expected_score,top1_correct,top5_correct,topk_materials,topk_scores
google/embeddinggemma-300m,IfcPile BORED Betonpfahl Beton D900 900 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,0.746645,1,0.746645,True,True,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonbohrpfahl 700 | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl,0.746645 | 0.635526 | 0.633748 | 0.623650 | 0.610190
sentence-transformers/LaBSE,IfcPile BORED Betonpfahl Beton D800 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 1200,0.576335,3,0.528793,False,True,Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl | Betonfertigteil hochfest,0.576335 | 0.549409 | 0.528793 | 0.514777 | 0.474757
sentence-transformers/LaBSE,IfcPile BORED Betonpfahl Beton D800 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 1200,0.576335,3,0.528793,False,True,Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl | Betonfertigteil hochfest,0.576335 | 0.549409 | 0.528793 | 0.514777 | 0.474757
sentence-transformers/LaBSE,IfcPile BORED Betonpfahl Beton D800 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 1200,0.576335,3,0.528793,False,True,Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl | Betonfertigteil hochfest,0.576335 | 0.549409 | 0.528793 | 0.514777 | 0.474757
sentence-transformers/LaBSE,IfcPile BORED Betonpfahl Beton D800 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 1200,0.576335,3,0.528793,False,True,Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl | Betonfertigteil hochfest,0.576335 | 0.549409 | 0.528793 | 0.514777 | 0.474757
sentence-transformers/LaBSE,IfcPile BORED Betonpfahl Beton D800 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 1200,0.576335,3,0.528793,False,True,Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl | Betonfertigteil hochfest,0.576335 | 0.549409 | 0.528793 | 0.514777 | 0.474757
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,IfcPile BORED Betonpfahl Beton D900 900 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,0.765243,1,0.765243,True,True,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Ortbetonverdrängungspfahl 660/580,0.765243 | 0.750193 | 0.732099 | 0.731434 | 0.722640
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,IfcPile BORED Betonpfahl Beton D800 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 1200,0.732393,2,0.726970,False,True,Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonverdrängungspfahl 660/580,0.732393 | 0.726970 | 0.720134 | 0.719793 | 0.707209
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,IfcPile BORED Betonpfahl Beton D800 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 1200,0.732393,2,0.726970,False,True,Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonverdrängungspfahl 660/580,0.732393 | 0.726970 | 0.720134 | 0.719793 | 0.707209
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,IfcPile BORED Betonpfahl Beton D800 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 1200,0.732393,2,0.726970,False,True,Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonverdrängungspfahl 660/580,0.732393 | 0.726970 | 0.720134 | 0.719793 | 0.707209
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,IfcPile BORED Betonpfahl Beton D800 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 1200,0.732393,2,0.726970,False,True,Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonverdrängungspfahl 660/580,0.732393 | 0.726970 | 0.720134 | 0.719793 | 0.707209
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,IfcPile BORED Betonpfahl Beton D800 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 1200,0.732393,2,0.726970,False,True,Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonverdrängungspfahl 660/580,0.732393 | 0.726970 | 0.720134 | 0.719793 | 0.707209
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,IfcPile BORED Betonpfahl Beton D900 900 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,0.686607,1,0.686607,True,True,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 1200 | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400,0.686607 | 0.679381 | 0.663408 | 0.589211 | 0.578320
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,IfcPile BORED Betonpfahl Beton D800 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 700,0.666368,2,0.649172,False,True,Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Baugrubensicherung Schlitzwand 800 | Tiefgründung Ortbetonverdrängungspfahl 560/480,0.666368 | 0.649172 | 0.630984 | 0.605254 | 0.538318
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,IfcPile BORED Betonpfahl Beton D800 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 700,0.666368,2,0.649172,False,True,Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Baugrubensicherung Schlitzwand 800 | Tiefgründung Ortbetonverdrängungspfahl 560/480,0.666368 | 0.649172 | 0.630984 | 0.605254 | 0.538318
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,IfcPile BORED Betonpfahl Beton D800 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 700,0.666368,2,0.649172,False,True,Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Baugrubensicherung Schlitzwand 800 | Tiefgründung Ortbetonverdrängungspfahl 560/480,0.666368 | 0.649172 | 0.630984 | 0.605254 | 0.538318
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,IfcPile BORED Betonpfahl Beton D800 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 700,0.666368,2,0.649172,False,True,Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Baugrubensicherung Schlitzwand 800 | Tiefgründung Ortbetonverdrängungspfahl 560/480,0.666368 | 0.649172 | 0.630984 | 0.605254 | 0.538318
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,IfcPile BORED Betonpfahl Beton D800 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 700,0.666368,2,0.649172,False,True,Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Baugrubensicherung Schlitzwand 800 | Tiefgründung Ortbetonverdrängungspfahl 560/480,0.666368 | 0.649172 | 0.630984 | 0.605254 | 0.538318
sentence-transformers/distiluse-base-multilingual-cased-v2,IfcPile BORED Betonpfahl Beton D900 900 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,0.697727,1,0.697727,True,True,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700 | Baugrubensicherung Schlitzwand 800 | Tiefgründung Ortbetonbohrpfahl 1200 | Baugrubensicherung Schlitzwand 400,0.697727 | 0.516355 | 0.481243 | 0.452014 | 0.401999
sentence-transformers/distiluse-base-multilingual-cased-v2,IfcPile BORED Betonpfahl Beton D800 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Baugrubensicherung Schlitzwand 800,0.615214,3,0.532605,False,True,Baugrubensicherung Schlitzwand 800 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Baugrubensicherung Schlitzwand 400,0.615214 | 0.558342 | 0.532605 | 0.493440 | 0.431015
sentence-transformers/distiluse-base-multilingual-cased-v2,IfcPile BORED Betonpfahl Beton D800 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Baugrubensicherung Schlitzwand 800,0.615214,3,0.532605,False,True,Baugrubensicherung Schlitzwand 800 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Baugrubensicherung Schlitzwand 400,0.615214 | 0.558342 | 0.532605 | 0.493440 | 0.431015
sentence-transformers/distiluse-base-multilingual-cased-v2,IfcPile BORED Betonpfahl Beton D800 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Baugrubensicherung Schlitzwand 800,0.615214,3,0.532605,False,True,Baugrubensicherung Schlitzwand 800 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Baugrubensicherung Schlitzwand 400,0.615214 | 0.558342 | 0.532605 | 0.493440 | 0.431015
sentence-transformers/distiluse-base-multilingual-cased-v2,IfcPile BORED Betonpfahl Beton D800 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,Baugrubensicherung Schlitzwand 800,0.615214,3,0.532605,False,True,Baugrubensicherung Schlitzwand 800 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Baugrubensicherung Schlitzwand 400,0.615214 | 0.558342 | 0.532605 | 0.493440 | 0.431015
