model,query_id,split,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,p_correct,auto_accept,expected_rank,top1_correct,hit@1,hit@5,hit@10,mrr@10,ndcg@10,map@10,recall@10,s1,s2,gap12,gap1_5,mean90,std90,z1,z_gap,entropy_top10,top10_materials,top10_scores
google/embeddinggemma-300m,10,test,IfcReinforcingBar Wendel oben B500B,Armierungsstahl,Armierungsstahl,1,Baugrubensicherung Schlitzwand 800,0.466438,0.466438,False,29,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.466438,0.429666,0.036771,0.056839,0.333229,0.044831,2.971334,0.820210,2.302334,Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | Bohrpfahlbeton | Betonfertigteil hochfest | Baugrubensicherung Nagelwand | Baugrubensicherung Spundwand auskragend | Tiefbaubeton | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Gusseisen | Hartfaserplatte,0.466438 | 0.429666 | 0.420096 | 0.410654 | 0.409598 | 0.404049 | 0.402900 | 0.393858 | 0.392545 | 0.384876
google/embeddinggemma-300m,11,test,IfcReinforcingBar Wendelbewehrung B500B,Armierungsstahl,Armierungsstahl,1,Baugrubensicherung Schlitzwand 800,0.485731,0.485731,False,24,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.485731,0.453871,0.031860,0.071409,0.343367,0.046152,3.084679,0.690326,2.302252,Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | Baugrubensicherung Spundwand auskragend | Baugrubensicherung Nagelwand | Baugrubensicherung Spundwand gespriesst | Bohrpfahlbeton | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Ortbetonbohrpfahl 900 | Baugrubensicherung Spundwand verankert | Tiefgründung Ortbetonverdrängungspfahl 660/580,0.485731 | 0.453871 | 0.415882 | 0.415586 | 0.414322 | 0.413423 | 0.408330 | 0.404830 | 0.403453 | 0.402749
google/embeddinggemma-300m,12,test,IfcReinforcingBar Längsarmierung B500B,Armierungsstahl,Armierungsstahl,1,Baugrubensicherung Schlitzwand 800,0.481872,0.481872,False,8,False,0.000000,0.000000,1.000000,0.125000,0.315465,0.125000,1.000000,0.481872,0.450406,0.031466,0.046435,0.361258,0.047497,2.539397,0.662485,2.302431,Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | Baugrubensicherung Spundwand auskragend | Dichtungsbahn Gummi EPDM | Bohrpfahlbeton | Baugrubensicherung Nagelwand | Baugrubensicherung Rühlwand auskragend | Armierungsstahl | Tiefgründung Ortbetonbohrpfahl 700 | Messing-/Baubronzeblech,0.481872 | 0.450406 | 0.446528 | 0.436518 | 0.435437 | 0.434951 | 0.426684 | 0.423598 | 0.422625 | 0.421147
google/embeddinggemma-300m,13,test,IfcBeam GIRDER_SEGMENT Randbord Beton NPK G Test-Kommentar Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil normalfest,0.566456,0.566456,False,7,False,0.000000,0.000000,1.000000,0.142857,0.333333,0.142857,1.000000,0.566456,0.559705,0.006752,0.054390,0.381155,0.073061,2.536245,0.092412,2.302051,Betonfertigteil normalfest | Betonfertigteil hochfest | Bohrpfahlbeton | Magerbeton | Baugrubensicherung Spundwand auskragend | Tiefgründung Vorgefertigter Betonpfahl | Tiefbaubeton | Baugrubensicherung Bohrpfahlwand gespriesst | Baugrubensicherung Nagelwand | Tiefgründung Ortbetonbohrpfahl 700,0.566456 | 0.559705 | 0.559076 | 0.554315 | 0.512066 | 0.504895 | 0.493636 | 0.489703 | 0.487295 | 0.485094
google/embeddinggemma-300m,14,test,IfcBeam EDGEBEAM Randbord Beton NPK G Randträger bewehrt Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil normalfest,0.565611,0.565611,False,5,False,0.000000,1.000000,1.000000,0.200000,0.386853,0.200000,1.000000,0.565611,0.557555,0.008056,0.057320,0.376551,0.072382,2.611976,0.111300,2.302048,Betonfertigteil normalfest | Bohrpfahlbeton | Magerbeton | Betonfertigteil hochfest | Tiefbaubeton | Holzwolle-Leichtbauplatte zementgebunden | Tiefgründung Vorgefertigter Betonpfahl | Baugrubensicherung Spundwand auskragend | Baugrubensicherung Nagelwand | Tiefgründung Ortbetonbohrpfahl 700,0.565611 | 0.557555 | 0.556413 | 0.553086 | 0.508291 | 0.497410 | 0.494360 | 0.490622 | 0.486082 | 0.481833
google/embeddinggemma-300m,15,test,IfcBeam PIERCAP Pfahlkopf Beton NPK G Pfahlkopf-Fundament Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Tiefgründung Vorgefertigter Betonpfahl,0.599337,0.599337,False,10,False,0.000000,0.000000,1.000000,0.100000,0.289065,0.100000,1.000000,0.599337,0.578511,0.020826,0.043100,0.389888,0.080866,2.590071,0.257535,2.302374,Tiefgründung Vorgefertigter Betonpfahl | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Bohrpfahlbeton | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Betonfertigteil normalfest | Magerbeton | Betonfertigteil hochfest | Tiefbaubeton,0.599337 | 0.578511 | 0.564452 | 0.557451 | 0.556237 | 0.547071 | 0.541853 | 0.541248 | 0.538894 | 0.525413
google/embeddinggemma-300m,16,test,IfcFooting STRIP_FOOTING Fundament Beton NPK G Ausführung Pilgerschritt Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Tiefgründung Vorgefertigter Betonpfahl,0.565260,0.565260,False,6,False,0.000000,0.000000,1.000000,0.166667,0.356207,0.166667,1.000000,0.565260,0.557885,0.007375,0.040063,0.379111,0.075568,2.463354,0.097599,2.302351,Tiefgründung Vorgefertigter Betonpfahl | Betonfertigteil normalfest | Betonfertigteil hochfest | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefbaubeton | Baugrubensicherung Nagelwand | Magerbeton | Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900,0.565260 | 0.557885 | 0.539029 | 0.534630 | 0.525198 | 0.516374 | 0.509618 | 0.508842 | 0.502354 | 0.500995
google/embeddinggemma-300m,17,test,IfcSlab FLOOR Fahrbahnplatte Beton NPK D Brückenplatte Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil normalfest,0.566717,0.566717,False,4,False,0.000000,1.000000,1.000000,0.250000,0.430677,0.250000,1.000000,0.566717,0.562821,0.003896,0.038629,0.394959,0.064980,2.643256,0.059956,2.302242,Betonfertigteil normalfest | Betonfertigteil hochfest | Magerbeton | Tiefbaubeton | Holzwolle-Leichtbauplatte zementgebunden | Bohrpfahlbeton | Gussasphalt | Tiefgründung Vorgefertigter Betonpfahl | Hartfaserplatte | Spanplatte Harnstoff-Formaldehyd-gebunden beschichtet Trockenbereich,0.566717 | 0.562821 | 0.536324 | 0.534533 | 0.528088 | 0.525510 | 0.516609 | 0.499063 | 0.497515 | 0.480743
google/embeddinggemma-300m,18,test,IfcWall RETAININGWALL Widerlagerwand Nord Beton NPK G über Pfahlkopfriegel Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Baugrubensicherung Spundwand auskragend,0.600201,0.600201,False,12,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600201,0.587395,0.012806,0.023391,0.400887,0.086417,2.306419,0.148186,2.302485,Baugrubensicherung Spundwand auskragend | Betonfertigteil normalfest | Baugrubensicherung Spundwand verankert | Baugrubensicherung Bohrpfahlwand verankert | Baugrubensicherung Rühlwand auskragend | Betonfertigteil hochfest | Baugrubensicherung Bohrpfahlwand gespriesst | Baugrubensicherung Nagelwand | Bohrpfahlbeton | Baugrubensicherung Spundwand gespriesst,0.600201 | 0.587395 | 0.586869 | 0.584731 | 0.576810 | 0.574219 | 0.566927 | 0.564801 | 0.556732 | 0.553343
google/embeddinggemma-300m,19,test,IfcWall RETAININGWALL Widerlagerwand Süd Beton NPK G Süd Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Baugrubensicherung Spundwand auskragend,0.586374,0.586374,False,11,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.586374,0.568839,0.017535,0.035547,0.389932,0.078979,2.487275,0.222019,2.302386,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Spundwand verankert | Baugrubensicherung Rühlwand auskragend | Betonfertigteil normalfest | Betonfertigteil hochfest | Baugrubensicherung Spundwand gespriesst | Baugrubensicherung Nagelwand | Baugrubensicherung Bohrpfahlwand verankert | Baugrubensicherung Bohrpfahlwand gespriesst | Baugrubensicherung Rühlwand verankert,0.586374 | 0.568839 | 0.564737 | 0.553555 | 0.550827 | 0.546340 | 0.541644 | 0.536008 | 0.529346 | 0.512849
google/embeddinggemma-300m,20,test,IfcPile BORED Betonpfahl Beton Pfahlreihe Süd 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700,2,Tiefgründung Ortbetonbohrpfahl 700,0.634283,0.634283,False,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.634283,0.633269,0.001015,0.071841,0.374009,0.087117,2.987627,0.011648,2.301833,Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Baugrubensicherung Schlitzwand 800 | Betonfertigteil normalfest | Betonfertigteil hochfest,0.634283 | 0.633269 | 0.582438 | 0.578287 | 0.562442 | 0.553051 | 0.536548 | 0.533948 | 0.533146 | 0.521017
google/embeddinggemma-300m,21,test,IfcPile BORED Betonpfahl Beton NPK F Pfahlreihe Süd 900 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,1,Tiefgründung Ortbetonbohrpfahl 900,0.703593,0.703593,False,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.703593,0.647419,0.056175,0.130267,0.387805,0.087444,3.611311,0.642406,2.301157,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 1200 | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl | Betonfertigteil normalfest | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Betonfertigteil hochfest | Magerbeton | Tiefgründung Ortbetonverdrängungspfahl 560/480,0.703593 | 0.647419 | 0.609338 | 0.578140 | 0.573327 | 0.568252 | 0.550758 | 0.544776 | 0.536393 | 0.527164
google/embeddinggemma-300m,22,test,IfcPile BORED Bohrpfahl Beton 600 Ortbeton,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,1,Tiefgründung Ortbetonbohrpfahl 900,0.681321,0.681321,False,2,False,0.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,0.681321,0.680266,0.001054,0.074169,0.374055,0.106764,2.877979,0.009873,2.301147,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Bohrpfahlbeton | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Vorgefertigter Betonpfahl | Betonfertigteil hochfest | Betonfertigteil normalfest | Baugrubensicherung Bohrpfahlwand gespriesst,0.681321 | 0.680266 | 0.651197 | 0.639897 | 0.607152 | 0.602177 | 0.591785 | 0.549530 | 0.532839 | 0.530375
google/embeddinggemma-300m,23,test,IfcPile BORED Bohrpfahl Beton 700 Ortbeton,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,1,Tiefgründung Ortbetonbohrpfahl 700,0.811589,0.811589,False,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.811589,0.671921,0.139668,0.210760,0.373219,0.106622,4.111424,1.309932,2.298528,Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Bohrpfahlbeton | Tiefgründung Vorgefertigter Betonpfahl | Betonfertigteil hochfest | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Betonfertigteil normalfest | Tiefbaubeton | Baugrubensicherung Bohrpfahlwand gespriesst,0.811589 | 0.671921 | 0.669548 | 0.603593 | 0.600830 | 0.551187 | 0.541046 | 0.537566 | 0.525213 | 0.523917
google/embeddinggemma-300m,24,test,IfcFooting STRIP_FOOTING Fundament Magerbeton Ortbeton,Magerbeton,Magerbeton,1,Magerbeton,0.609399,0.609399,False,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.609399,0.603265,0.006134,0.059476,0.384680,0.084356,2.663937,0.072721,2.302183,Magerbeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Tiefgründung Vorgefertigter Betonpfahl | Bohrpfahlbeton | Tiefbaubeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 1200 | Baugrubensicherung Nagelwand | Baugrubensicherung Spundwand auskragend,0.609399 | 0.603265 | 0.581609 | 0.554878 | 0.549923 | 0.549293 | 0.538979 | 0.536965 | 0.534347 | 0.523890
google/embeddinggemma-300m,25,test,IfcCovering Abdichtung Flüssigkunststoff,2K-Fliessbelag Epoxidharz,2K-Fliessbelag Epoxidharz,1,Dichtungsbahn Gummi EPDM,0.575464,0.575464,False,14,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.575464,0.571681,0.003782,0.061545,0.374097,0.079501,2.532876,0.047576,2.302117,Dichtungsbahn Gummi EPDM | Dichtungsbahn Polyolefin FPO | Kautschukdichtungsmasse | Polyvinylchlorid PVC | Bitumenemulsion | Polyethylen PE | Dichtungsbahn bituminös | Polycarbonat PC | Polyethylenfolie PE | Polyethylenvlies PE,0.575464 | 0.571681 | 0.554529 | 0.527989 | 0.513918 | 0.513756 | 0.507291 | 0.499952 | 0.492821 | 0.487132
google/embeddinggemma-300m,26,test,IfcWall RETAININGWALL Rühlwand Fertigteil,Baugrubensicherung Rühlwand auskragend | Baugrubensicherung Rühlwand gespriesst | Baugrubensicherung Rühlwand verankert,Baugrubensicherung Rühlwand auskragend | Baugrubensicherung Rühlwand gespriesst | Baugrubensicherung Rühlwand verankert,3,Baugrubensicherung Rühlwand auskragend,0.641581,0.641581,False,1,True,1.000000,1.000000,1.000000,1.000000,0.906628,0.777778,1.000000,0.641581,0.588874,0.052707,0.077695,0.400128,0.074554,3.238655,0.706969,2.302024,Baugrubensicherung Rühlwand auskragend | Baugrubensicherung Rühlwand verankert | Baugrubensicherung Spundwand auskragend | Baugrubensicherung Spundwand verankert | Baugrubensicherung Bohrpfahlwand verankert | Baugrubensicherung Nagelwand | Baugrubensicherung Bohrpfahlwand gespriesst | Baugrubensicherung Spundwand gespriesst | Baugrubensicherung Rühlwand gespriesst | Baugrubensicherung Bohrpfahlwand unverankert,0.641581 | 0.588874 | 0.588084 | 0.583287 | 0.563886 | 0.544342 | 0.543638 | 0.542651 | 0.540709 | 0.523324
google/embeddinggemma-300m,27,test,IfcWall RETAININGWALL Bohrpfahlwand Ortbeton,Baugrubensicherung Bohrpfahlwand gespriesst | Baugrubensicherung Bohrpfahlwand unverankert | Baugrubensicherung Bohrpfahlwand verankert,Baugrubensicherung Bohrpfahlwand gespriesst | Baugrubensicherung Bohrpfahlwand unverankert | Baugrubensicherung Bohrpfahlwand verankert,3,Baugrubensicherung Bohrpfahlwand gespriesst,0.655736,0.655736,False,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.655736,0.651782,0.003954,0.054220,0.425008,0.091563,2.519890,0.043187,2.302163,Baugrubensicherung Bohrpfahlwand gespriesst | Baugrubensicherung Bohrpfahlwand verankert | Baugrubensicherung Bohrpfahlwand unverankert | Baugrubensicherung Spundwand verankert | Baugrubensicherung Spundwand auskragend | Baugrubensicherung Spundwand gespriesst | Baugrubensicherung Nagelwand | Baugrubensicherung Rühlwand auskragend | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 1200,0.655736 | 0.651782 | 0.616917 | 0.602390 | 0.601516 | 0.592084 | 0.585440 | 0.582170 | 0.575514 | 0.566207
BAAI/bge-m3,0,test,IfcReinforcingBar,Armierungsstahl,Armierungsstahl,1,Baugrubensicherung Bohrpfahlwand unverankert,0.439414,0.439414,False,7,False,0.000000,0.000000,1.000000,0.142857,0.333333,0.142857,1.000000,0.439414,0.434371,0.005043,0.009212,0.373920,0.034341,1.907178,0.146842,2.302575,Baugrubensicherung Bohrpfahlwand unverankert | Polyester UP glasfaserverstärkt | Betonfertigteil hochfest | Tiefbaubeton | Kraftpapier | Baugrubensicherung Rühlwand auskragend | Armierungsstahl | Baugrubensicherung Spundwand auskragend | Magerbeton | Baugrubensicherung Bohrpfahlwand gespriesst,0.439414 | 0.434371 | 0.434256 | 0.430230 | 0.430201 | 0.429150 | 0.427378 | 0.426487 | 0.424829 | 0.424775
BAAI/bge-m3,1,test,IfcReinforcingBar Bügel B500B,Armierungsstahl,Armierungsstahl,1,Betonfertigteil hochfest,0.504151,0.504151,False,21,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.504151,0.499299,0.004852,0.033264,0.391711,0.047260,2.379187,0.102668,2.302447,Betonfertigteil hochfest | Baugrubensicherung Schlitzwand 400 | Baugrubensicherung Schlitzwand 800 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Tiefgründung Ortbetonbohrpfahl 1200 | Baugrubensicherung Nagelwand | Tiefgründung Vorgefertigter Betonpfahl | Tiefgründung Ortbetonverdrängungspfahl 560/480,0.504151 | 0.499299 | 0.484865 | 0.474721 | 0.470888 | 0.466955 | 0.460269 | 0.459051 | 0.457521 | 0.455963
BAAI/bge-m3,2,test,IfcReinforcingBar Längsstab B500B,Armierungsstahl,Armierungsstahl,1,Armierungsstahl,0.485140,0.485140,False,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.485140,0.479299,0.005841,0.023188,0.383747,0.048977,2.070202,0.119264,2.302492,Armierungsstahl | Baugrubensicherung Schlitzwand 400 | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Bohrpfahlwand unverankert | Betonfertigteil hochfest | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Baugrubensicherung Nagelwand | Baugrubensicherung Bohrpfahlwand verankert | Bohrpfahlbeton,0.485140 | 0.479299 | 0.477008 | 0.463002 | 0.461952 | 0.460638 | 0.456093 | 0.450219 | 0.445227 | 0.443657
