index,entity,predefined_type,material,strength,exposure,diameter,casting_method,query,dedupe_key
59,IfcBeam,,Stahlbeton,C25/30,,,,IfcBeam Stahlbeton C25/30,IfcBeam Stahlbeton C25/30
60,IfcBeam,,Stahlbeton,C25/30,,,INSITU,IfcBeam Stahlbeton C25/30 INSITU,IfcBeam Stahlbeton C25/30 INSITU
61,IfcBeam,,Stahlbeton,C25/30,,,PRECAST,IfcBeam Stahlbeton C25/30 PRECAST,IfcBeam Stahlbeton C25/30 PRECAST
62,IfcBeam,,Stahlbeton,C30/37,,,,IfcBeam Stahlbeton C30/37,IfcBeam Stahlbeton C30/37
63,IfcBeam,,Stahlbeton,C30/37,,,Fertigteil,IfcBeam Stahlbeton C30/37 Fertigteil,IfcBeam Stahlbeton C30/37 Fertigteil
64,IfcBeam,,Stahlbeton,C30/37,,,Ortbeton,IfcBeam Stahlbeton C30/37 Ortbeton,IfcBeam Stahlbeton C30/37 Ortbeton
65,IfcBeam,,Stahlbeton,C35/45,,,,IfcBeam Stahlbeton C35/45,IfcBeam Stahlbeton C35/45
66,IfcBeam,,Stahlbeton,C35/45,,,INSITU,IfcBeam Stahlbeton C35/45 INSITU,IfcBeam Stahlbeton C35/45 INSITU
67,IfcBeam,,Stahlbeton,C35/45,,,PRECAST,IfcBeam Stahlbeton C35/45 PRECAST,IfcBeam Stahlbeton C35/45 PRECAST
68,IfcBeam,,Stahlbeton,C40/50,,,,IfcBeam Stahlbeton C40/50,IfcBeam Stahlbeton C40/50
69,IfcBeam,,Stahlbeton,C40/50,,,Ortbeton,IfcBeam Stahlbeton C40/50 Ortbeton,IfcBeam Stahlbeton C40/50 Ortbeton
70,IfcBeam,,Stahlbeton,C40/50,,,PRECAST,IfcBeam Stahlbeton C40/50 PRECAST,IfcBeam Stahlbeton C40/50 PRECAST
71,IfcBeam,,Stahlbeton NPK D,,,,,IfcBeam Stahlbeton NPK D,IfcBeam Stahlbeton NPK D
72,IfcBeam,,Stahlbeton NPK D,C20/25,,,Ortbeton,IfcBeam Stahlbeton NPK D C20/25 Ortbeton,IfcBeam Stahlbeton NPK D C20/25 Ortbeton
73,IfcBeam,,Stahlbeton NPK E,,,,,IfcBeam Stahlbeton NPK E,IfcBeam Stahlbeton NPK E
74,IfcBeam,,Stahlbeton NPK E,C25/30,,,PRECAST,IfcBeam Stahlbeton NPK E C25/30 PRECAST,IfcBeam Stahlbeton NPK E C25/30 PRECAST
75,IfcBeam,,Stahlbeton NPK E,C30/37,,,Fertigteil,IfcBeam Stahlbeton NPK E C30/37 Fertigteil,IfcBeam Stahlbeton NPK E C30/37 Fertigteil
76,IfcBeam,,Stahlbeton NPK E,C30/37,,,Ortbeton,IfcBeam Stahlbeton NPK E C30/37 Ortbeton,IfcBeam Stahlbeton NPK E C30/37 Ortbeton
77,IfcBeam,,Stahlbeton NPK E,C35/45,,,PRECAST,IfcBeam Stahlbeton NPK E C35/45 PRECAST,IfcBeam Stahlbeton NPK E C35/45 PRECAST
78,IfcBeam,,Stahlbeton NPK F,,,,,IfcBeam Stahlbeton NPK F,IfcBeam Stahlbeton NPK F
79,IfcBeam,,Stahlbeton NPK F,C20/25,,,Fertigteil,IfcBeam Stahlbeton NPK F C20/25 Fertigteil,IfcBeam Stahlbeton NPK F C20/25 Fertigteil
80,IfcBeam,,Stahlbeton NPK F,C25/30,,,INSITU,IfcBeam Stahlbeton NPK F C25/30 INSITU,IfcBeam Stahlbeton NPK F C25/30 INSITU
81,IfcBeam,,Stahlbeton NPK F,C40/50,,,Ortbeton,IfcBeam Stahlbeton NPK F C40/50 Ortbeton,IfcBeam Stahlbeton NPK F C40/50 Ortbeton
82,IfcBeam,,Stahlbeton NPK F,C40/50,,,PRECAST,IfcBeam Stahlbeton NPK F C40/50 PRECAST,IfcBeam Stahlbeton NPK F C40/50 PRECAST
83,IfcBeam,,Stahlbeton NPK G,,,,,IfcBeam Stahlbeton NPK G,IfcBeam Stahlbeton NPK G
84,IfcBeam,,Stahlbeton NPK G,C35/45,,,INSITU,IfcBeam Stahlbeton NPK G C35/45 INSITU,IfcBeam Stahlbeton NPK G C35/45 INSITU
85,IfcBeam,,Tanne,,,,,IfcBeam Tanne,IfcBeam Tanne
86,IfcBeam,BEAM,,S235,,,,IfcBeam BEAM S235,IfcBeam BEAM S235
87,IfcBeam,BEAM,,S355,,,,IfcBeam BEAM S355,IfcBeam BEAM S355
88,IfcBeam,BEAM,,S460,,,,IfcBeam BEAM S460,IfcBeam BEAM S460
89,IfcBeam,BEAM,Beton,,,,,IfcBeam BEAM Beton,IfcBeam BEAM Beton
90,IfcBeam,BEAM,Beton,,,,Fertigteil,IfcBeam BEAM Beton Fertigteil,IfcBeam BEAM Beton Fertigteil
91,IfcBeam,BEAM,Beton,,,,INSITU,IfcBeam BEAM Beton INSITU,IfcBeam BEAM Beton INSITU
92,IfcBeam,BEAM,Beton,,,,Ortbeton,IfcBeam BEAM Beton Ortbeton,IfcBeam BEAM Beton Ortbeton
93,IfcBeam,BEAM,Beton,,,,PRECAST,IfcBeam BEAM Beton PRECAST,IfcBeam BEAM Beton PRECAST
94,IfcBeam,BEAM,Beton,C20/25,,,,IfcBeam BEAM Beton C20/25,IfcBeam BEAM Beton C20/25
95,IfcBeam,BEAM,Beton,C20/25,,,INSITU,IfcBeam BEAM Beton C20/25 INSITU,IfcBeam BEAM Beton C20/25 INSITU
96,IfcBeam,BEAM,Beton,C20/25,,,PRECAST,IfcBeam BEAM Beton C20/25 PRECAST,IfcBeam BEAM Beton C20/25 PRECAST
97,IfcBeam,BEAM,Beton,C25/30,,,,IfcBeam BEAM Beton C25/30,IfcBeam BEAM Beton C25/30
98,IfcBeam,BEAM,Beton,C25/30,,,Fertigteil,IfcBeam BEAM Beton C25/30 Fertigteil,IfcBeam BEAM Beton C25/30 Fertigteil
99,IfcBeam,BEAM,Beton,C25/30,,,Ortbeton,IfcBeam BEAM Beton C25/30 Ortbeton,IfcBeam BEAM Beton C25/30 Ortbeton
100,IfcBeam,BEAM,Beton,C30/37,,,,IfcBeam BEAM Beton C30/37,IfcBeam BEAM Beton C30/37
101,IfcBeam,BEAM,Beton,C30/37,,,Fertigteil,IfcBeam BEAM Beton C30/37 Fertigteil,IfcBeam BEAM Beton C30/37 Fertigteil
102,IfcBeam,BEAM,Beton,C30/37,,,INSITU,IfcBeam BEAM Beton C30/37 INSITU,IfcBeam BEAM Beton C30/37 INSITU
103,IfcBeam,BEAM,Beton,C35/45,,,,IfcBeam BEAM Beton C35/45,IfcBeam BEAM Beton C35/45
104,IfcBeam,BEAM,Beton,C35/45,,,Fertigteil,IfcBeam BEAM Beton C35/45 Fertigteil,IfcBeam BEAM Beton C35/45 Fertigteil
105,IfcBeam,BEAM,Beton,C35/45,,,Ortbeton,IfcBeam BEAM Beton C35/45 Ortbeton,IfcBeam BEAM Beton C35/45 Ortbeton
106,IfcBeam,BEAM,Beton,C40/50,,,,IfcBeam BEAM Beton C40/50,IfcBeam BEAM Beton C40/50
107,IfcBeam,BEAM,Beton,C40/50,,,Fertigteil,IfcBeam BEAM Beton C40/50 Fertigteil,IfcBeam BEAM Beton C40/50 Fertigteil
108,IfcBeam,BEAM,Beton,C40/50,,,Ortbeton,IfcBeam BEAM Beton C40/50 Ortbeton,IfcBeam BEAM Beton C40/50 Ortbeton
109,IfcBeam,BEAM,Beton NPK D,,,,,IfcBeam BEAM Beton NPK D,IfcBeam BEAM Beton NPK D
110,IfcBeam,BEAM,Beton NPK D,C20/25,,,PRECAST,IfcBeam BEAM Beton NPK D C20/25 PRECAST,IfcBeam BEAM Beton NPK D C20/25 PRECAST
111,IfcBeam,BEAM,Beton NPK D,C35/45,,,Ortbeton,IfcBeam BEAM Beton NPK D C35/45 Ortbeton,IfcBeam BEAM Beton NPK D C35/45 Ortbeton
112,IfcBeam,BEAM,Beton NPK D,C40/50,,,Ortbeton,IfcBeam BEAM Beton NPK D C40/50 Ortbeton,IfcBeam BEAM Beton NPK D C40/50 Ortbeton
113,IfcBeam,BEAM,Beton NPK E,,,,,IfcBeam BEAM Beton NPK E,IfcBeam BEAM Beton NPK E
114,IfcBeam,BEAM,Beton NPK E,C30/37,,,Fertigteil,IfcBeam BEAM Beton NPK E C30/37 Fertigteil,IfcBeam BEAM Beton NPK E C30/37 Fertigteil
115,IfcBeam,BEAM,Beton NPK E,C35/45,,,Fertigteil,IfcBeam BEAM Beton NPK E C35/45 Fertigteil,IfcBeam BEAM Beton NPK E C35/45 Fertigteil
116,IfcBeam,BEAM,Beton NPK F,,,,,IfcBeam BEAM Beton NPK F,IfcBeam BEAM Beton NPK F
117,IfcBeam,BEAM,Beton NPK F,C25/30,,,Fertigteil,IfcBeam BEAM Beton NPK F C25/30 Fertigteil,IfcBeam BEAM Beton NPK F C25/30 Fertigteil
118,IfcBeam,BEAM,Beton NPK F,C25/30,,,Ortbeton,IfcBeam BEAM Beton NPK F C25/30 Ortbeton,IfcBeam BEAM Beton NPK F C25/30 Ortbeton
119,IfcBeam,BEAM,Beton NPK F,C30/37,,,INSITU,IfcBeam BEAM Beton NPK F C30/37 INSITU,IfcBeam BEAM Beton NPK F C30/37 INSITU
120,IfcBeam,BEAM,Beton NPK F,C40/50,,,Fertigteil,IfcBeam BEAM Beton NPK F C40/50 Fertigteil,IfcBeam BEAM Beton NPK F C40/50 Fertigteil
121,IfcBeam,BEAM,Beton NPK G,,,,,IfcBeam BEAM Beton NPK G,IfcBeam BEAM Beton NPK G
122,IfcBeam,BEAM,Beton NPK G,C20/25,,,INSITU,IfcBeam BEAM Beton NPK G C20/25 INSITU,IfcBeam BEAM Beton NPK G C20/25 INSITU
123,IfcBeam,BEAM,Buche,,,,,IfcBeam BEAM Buche,IfcBeam BEAM Buche
124,IfcBeam,BEAM,Eiche,,,,,IfcBeam BEAM Eiche,IfcBeam BEAM Eiche
125,IfcBeam,BEAM,Fichte,,,,,IfcBeam BEAM Fichte,IfcBeam BEAM Fichte
126,IfcBeam,BEAM,Holz,,,,,IfcBeam BEAM Holz,IfcBeam BEAM Holz
127,IfcBeam,BEAM,Lärche,,,,,IfcBeam BEAM Lärche,IfcBeam BEAM Lärche
128,IfcBeam,BEAM,Stahl,,,,,IfcBeam BEAM Stahl,IfcBeam BEAM Stahl
129,IfcBeam,BEAM,Stahl,S235,,,,IfcBeam BEAM Stahl S235,IfcBeam BEAM Stahl S235
130,IfcBeam,BEAM,Stahl,S235J0,,,,IfcBeam BEAM Stahl S235J0,IfcBeam BEAM Stahl S235J0
131,IfcBeam,BEAM,Stahl,S235JR,,,,IfcBeam BEAM Stahl S235JR,IfcBeam BEAM Stahl S235JR
132,IfcBeam,BEAM,Stahl,S355,,,,IfcBeam BEAM Stahl S355,IfcBeam BEAM Stahl S355
133,IfcBeam,BEAM,Stahl,S355J0,,,,IfcBeam BEAM Stahl S355J0,IfcBeam BEAM Stahl S355J0
134,IfcBeam,BEAM,Stahl,S355JR,,,,IfcBeam BEAM Stahl S355JR,IfcBeam BEAM Stahl S355JR
135,IfcBeam,BEAM,Stahl,S460,,,,IfcBeam BEAM Stahl S460,IfcBeam BEAM Stahl S460
136,IfcBeam,BEAM,Stahlbeton,,,,,IfcBeam BEAM Stahlbeton,IfcBeam BEAM Stahlbeton
137,IfcBeam,BEAM,Stahlbeton,,,,Fertigteil,IfcBeam BEAM Stahlbeton Fertigteil,IfcBeam BEAM Stahlbeton Fertigteil
138,IfcBeam,BEAM,Stahlbeton,,,,INSITU,IfcBeam BEAM Stahlbeton INSITU,IfcBeam BEAM Stahlbeton INSITU
139,IfcBeam,BEAM,Stahlbeton,,,,Ortbeton,IfcBeam BEAM Stahlbeton Ortbeton,IfcBeam BEAM Stahlbeton Ortbeton
140,IfcBeam,BEAM,Stahlbeton,,,,PRECAST,IfcBeam BEAM Stahlbeton PRECAST,IfcBeam BEAM Stahlbeton PRECAST
141,IfcBeam,BEAM,Stahlbeton,C20/25,,,,IfcBeam BEAM Stahlbeton C20/25,IfcBeam BEAM Stahlbeton C20/25
142,IfcBeam,BEAM,Stahlbeton,C20/25,,,INSITU,IfcBeam BEAM Stahlbeton C20/25 INSITU,IfcBeam BEAM Stahlbeton C20/25 INSITU
143,IfcBeam,BEAM,Stahlbeton,C20/25,,,PRECAST,IfcBeam BEAM Stahlbeton C20/25 PRECAST,IfcBeam BEAM Stahlbeton C20/25 PRECAST
144,IfcBeam,BEAM,Stahlbeton,C25/30,,,,IfcBeam BEAM Stahlbeton C25/30,IfcBeam BEAM Stahlbeton C25/30
145,IfcBeam,BEAM,Stahlbeton,C25/30,,,Fertigteil,IfcBeam BEAM Stahlbeton C25/30 Fertigteil,IfcBeam BEAM Stahlbeton C25/30 Fertigteil
146,IfcBeam,BEAM,Stahlbeton,C25/30,,,INSITU,IfcBeam BEAM Stahlbeton C25/30 INSITU,IfcBeam BEAM Stahlbeton C25/30 INSITU
147,IfcBeam,BEAM,Stahlbeton,C30/37,,,,IfcBeam BEAM Stahlbeton C30/37,IfcBeam BEAM Stahlbeton C30/37
148,IfcBeam,BEAM,Stahlbeton,C30/37,,,INSITU,IfcBeam BEAM Stahlbeton C30/37 INSITU,IfcBeam BEAM Stahlbeton C30/37 INSITU
149,IfcBeam,BEAM,Stahlbeton,C30/37,,,PRECAST,IfcBeam BEAM Stahlbeton C30/37 PRECAST,IfcBeam BEAM Stahlbeton C30/37 PRECAST
150,IfcBeam,BEAM,Stahlbeton,C35/45,,,,IfcBeam BEAM Stahlbeton C35/45,IfcBeam BEAM Stahlbeton C35/45
151,IfcBeam,BEAM,Stahlbeton,C35/45,,,Fertigteil,IfcBeam BEAM Stahlbeton C35/45 Fertigteil,IfcBeam BEAM Stahlbeton C35/45 Fertigteil
152,IfcBeam,BEAM,Stahlbeton,C35/45,,,Ortbeton,IfcBeam BEAM Stahlbeton C35/45 Ortbeton,IfcBeam BEAM Stahlbeton C35/45 Ortbeton
153,IfcBeam,BEAM,Stahlbeton,C40/50,,,,IfcBeam BEAM Stahlbeton C40/50,IfcBeam BEAM Stahlbeton C40/50
154,IfcBeam,BEAM,Stahlbeton,C40/50,,,Fertigteil,IfcBeam BEAM Stahlbeton C40/50 Fertigteil,IfcBeam BEAM Stahlbeton C40/50 Fertigteil
155,IfcBeam,BEAM,Stahlbeton,C40/50,,,Ortbeton,IfcBeam BEAM Stahlbeton C40/50 Ortbeton,IfcBeam BEAM Stahlbeton C40/50 Ortbeton
156,IfcBeam,BEAM,Stahlbeton NPK D,,,,,IfcBeam BEAM Stahlbeton NPK D,IfcBeam BEAM Stahlbeton NPK D
157,IfcBeam,BEAM,Stahlbeton NPK D,C20/25,,,INSITU,IfcBeam BEAM Stahlbeton NPK D C20/25 INSITU,IfcBeam BEAM Stahlbeton NPK D C20/25 INSITU
158,IfcBeam,BEAM,Stahlbeton NPK D,C20/25,,,PRECAST,IfcBeam BEAM Stahlbeton NPK D C20/25 PRECAST,IfcBeam BEAM Stahlbeton NPK D C20/25 PRECAST
159,IfcBeam,BEAM,Stahlbeton NPK D,C30/37,,,PRECAST,IfcBeam BEAM Stahlbeton NPK D C30/37 PRECAST,IfcBeam BEAM Stahlbeton NPK D C30/37 PRECAST
160,IfcBeam,BEAM,Stahlbeton NPK D,C40/50,,,Ortbeton,IfcBeam BEAM Stahlbeton NPK D C40/50 Ortbeton,IfcBeam BEAM Stahlbeton NPK D C40/50 Ortbeton
161,IfcBeam,BEAM,Stahlbeton NPK E,,,,,IfcBeam BEAM Stahlbeton NPK E,IfcBeam BEAM Stahlbeton NPK E
162,IfcBeam,BEAM,Stahlbeton NPK E,C30/37,,,INSITU,IfcBeam BEAM Stahlbeton NPK E C30/37 INSITU,IfcBeam BEAM Stahlbeton NPK E C30/37 INSITU
163,IfcBeam,BEAM,Stahlbeton NPK E,C35/45,,,Fertigteil,IfcBeam BEAM Stahlbeton NPK E C35/45 Fertigteil,IfcBeam BEAM Stahlbeton NPK E C35/45 Fertigteil
164,IfcBeam,BEAM,Stahlbeton NPK F,,,,,IfcBeam BEAM Stahlbeton NPK F,IfcBeam BEAM Stahlbeton NPK F
165,IfcBeam,BEAM,Stahlbeton NPK F,C25/30,,,Fertigteil,IfcBeam BEAM Stahlbeton NPK F C25/30 Fertigteil,IfcBeam BEAM Stahlbeton NPK F C25/30 Fertigteil
166,IfcBeam,BEAM,Stahlbeton NPK F,C25/30,,,INSITU,IfcBeam BEAM Stahlbeton NPK F C25/30 INSITU,IfcBeam BEAM Stahlbeton NPK F C25/30 INSITU
167,IfcBeam,BEAM,Stahlbeton NPK F,C40/50,,,Fertigteil,IfcBeam BEAM Stahlbeton NPK F C40/50 Fertigteil,IfcBeam BEAM Stahlbeton NPK F C40/50 Fertigteil
168,IfcBeam,BEAM,Stahlbeton NPK G,,,,,IfcBeam BEAM Stahlbeton NPK G,IfcBeam BEAM Stahlbeton NPK G
169,IfcBeam,BEAM,Stahlbeton NPK G,C35/45,,,Ortbeton,IfcBeam BEAM Stahlbeton NPK G C35/45 Ortbeton,IfcBeam BEAM Stahlbeton NPK G C35/45 Ortbeton
170,IfcBeam,BEAM,Tanne,,,,,IfcBeam BEAM Tanne,IfcBeam BEAM Tanne
171,IfcBeam,CORNICE,Beton,,,,,IfcBeam CORNICE Beton,IfcBeam CORNICE Beton
172,IfcBeam,CORNICE,Beton,,,,Fertigteil,IfcBeam CORNICE Beton Fertigteil,IfcBeam CORNICE Beton Fertigteil
173,IfcBeam,CORNICE,Beton,,,,INSITU,IfcBeam CORNICE Beton INSITU,IfcBeam CORNICE Beton INSITU
174,IfcBeam,CORNICE,Beton,,,,Ortbeton,IfcBeam CORNICE Beton Ortbeton,IfcBeam CORNICE Beton Ortbeton
175,IfcBeam,CORNICE,Beton,,,,PRECAST,IfcBeam CORNICE Beton PRECAST,IfcBeam CORNICE Beton PRECAST
176,IfcBeam,CORNICE,Beton,C20/25,,,,IfcBeam CORNICE Beton C20/25,IfcBeam CORNICE Beton C20/25
177,IfcBeam,CORNICE,Beton,C20/25,,,Fertigteil,IfcBeam CORNICE Beton C20/25 Fertigteil,IfcBeam CORNICE Beton C20/25 Fertigteil
178,IfcBeam,CORNICE,Beton,C20/25,,,INSITU,IfcBeam CORNICE Beton C20/25 INSITU,IfcBeam CORNICE Beton C20/25 INSITU
179,IfcBeam,CORNICE,Beton,C25/30,,,,IfcBeam CORNICE Beton C25/30,IfcBeam CORNICE Beton C25/30
180,IfcBeam,CORNICE,Beton,C25/30,,,Ortbeton,IfcBeam CORNICE Beton C25/30 Ortbeton,IfcBeam CORNICE Beton C25/30 Ortbeton
181,IfcBeam,CORNICE,Beton,C25/30,,,PRECAST,IfcBeam CORNICE Beton C25/30 PRECAST,IfcBeam CORNICE Beton C25/30 PRECAST
182,IfcBeam,CORNICE,Beton,C30/37,,,,IfcBeam CORNICE Beton C30/37,IfcBeam CORNICE Beton C30/37
183,IfcBeam,CORNICE,Beton,C30/37,,,Ortbeton,IfcBeam CORNICE Beton C30/37 Ortbeton,IfcBeam CORNICE Beton C30/37 Ortbeton
184,IfcBeam,CORNICE,Beton,C30/37,,,PRECAST,IfcBeam CORNICE Beton C30/37 PRECAST,IfcBeam CORNICE Beton C30/37 PRECAST
185,IfcBeam,CORNICE,Beton,C35/45,,,,IfcBeam CORNICE Beton C35/45,IfcBeam CORNICE Beton C35/45
186,IfcBeam,CORNICE,Beton,C35/45,,,Ortbeton,IfcBeam CORNICE Beton C35/45 Ortbeton,IfcBeam CORNICE Beton C35/45 Ortbeton
187,IfcBeam,CORNICE,Beton,C35/45,,,PRECAST,IfcBeam CORNICE Beton C35/45 PRECAST,IfcBeam CORNICE Beton C35/45 PRECAST
188,IfcBeam,CORNICE,Beton,C40/50,,,,IfcBeam CORNICE Beton C40/50,IfcBeam CORNICE Beton C40/50
189,IfcBeam,CORNICE,Beton,C40/50,,,INSITU,IfcBeam CORNICE Beton C40/50 INSITU,IfcBeam CORNICE Beton C40/50 INSITU
190,IfcBeam,CORNICE,Beton,C40/50,,,PRECAST,IfcBeam CORNICE Beton C40/50 PRECAST,IfcBeam CORNICE Beton C40/50 PRECAST
191,IfcBeam,CORNICE,Beton NPK D,,,,,IfcBeam CORNICE Beton NPK D,IfcBeam CORNICE Beton NPK D
192,IfcBeam,CORNICE,Beton NPK D,C25/30,,,Ortbeton,IfcBeam CORNICE Beton NPK D C25/30 Ortbeton,IfcBeam CORNICE Beton NPK D C25/30 Ortbeton
193,IfcBeam,CORNICE,Beton NPK D,C30/37,,,Ortbeton,IfcBeam CORNICE Beton NPK D C30/37 Ortbeton,IfcBeam CORNICE Beton NPK D C30/37 Ortbeton
194,IfcBeam,CORNICE,Beton NPK D,C35/45,,,PRECAST,IfcBeam CORNICE Beton NPK D C35/45 PRECAST,IfcBeam CORNICE Beton NPK D C35/45 PRECAST
