line_number,query,baseline_mapping,new_mapping,change_state,mapping_state
21,IfcBeam Beton C40/50,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
22,IfcBeam Beton C40/50 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
23,IfcBeam Beton C40/50 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
24,IfcBeam Beton NPK D,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
25,IfcBeam Beton NPK D C20/25 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
26,IfcBeam Beton NPK D C40/50 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
27,IfcBeam Beton NPK E,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
28,IfcBeam Beton NPK E C25/30 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
29,IfcBeam Beton NPK E C30/37 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
30,IfcBeam Beton NPK F,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
31,IfcBeam Beton NPK F C20/25 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
32,IfcBeam Beton NPK F C30/37 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
33,IfcBeam Beton NPK F C35/45 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
34,IfcBeam Beton NPK F C40/50 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
35,IfcBeam Beton NPK G,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
36,IfcBeam Beton NPK G C25/30 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
37,IfcBeam Beton NPK G C35/45 PRECAST,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
38,IfcBeam Buche,Massivholz Buche Eiche kammergetrocknet gehobelt | Massivholz Buche Eiche kammergetrocknet rau | Massivholz Buche Eiche luftgetrocknet rau,Massivholz Buche Eiche kammergetrocknet gehobelt | Massivholz Buche Eiche kammergetrocknet rau | Massivholz Buche Eiche luftgetrocknet rau,unchanged,non-empty
39,IfcBeam Eiche,Massivholz Buche Eiche kammergetrocknet gehobelt | Massivholz Buche Eiche kammergetrocknet rau | Massivholz Buche Eiche luftgetrocknet rau,Massivholz Buche Eiche kammergetrocknet gehobelt | Massivholz Buche Eiche kammergetrocknet rau | Massivholz Buche Eiche luftgetrocknet rau,unchanged,non-empty
40,IfcBeam Fichte,Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau,Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau,unchanged,non-empty
41,IfcBeam Holz,Balkenschichtholz | Brettschichtholz | Brettsperrholz | Konstruktionsvollholz,Balkenschichtholz | Brettschichtholz | Brettsperrholz | Konstruktionsvollholz,unchanged,non-empty
42,IfcBeam Lärche,Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau,Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau,unchanged,non-empty
43,IfcBeam Stahl,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
44,IfcBeam Stahl S235,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
45,IfcBeam Stahl S235J0,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
46,IfcBeam Stahl S235JR,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
47,IfcBeam Stahl S355,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
48,IfcBeam Stahl S355J0,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
49,IfcBeam Stahl S355JR,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
50,IfcBeam Stahl S460,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
51,IfcBeam Stahlbeton,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
52,IfcBeam Stahlbeton Fertigteil,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
53,IfcBeam Stahlbeton INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
54,IfcBeam Stahlbeton Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
55,IfcBeam Stahlbeton PRECAST,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
56,IfcBeam Stahlbeton C20/25,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
57,IfcBeam Stahlbeton C20/25 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
58,IfcBeam Stahlbeton C20/25 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
59,IfcBeam Stahlbeton C25/30,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
60,IfcBeam Stahlbeton C25/30 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
61,IfcBeam Stahlbeton C25/30 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
62,IfcBeam Stahlbeton C30/37,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
63,IfcBeam Stahlbeton C30/37 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
64,IfcBeam Stahlbeton C30/37 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
65,IfcBeam Stahlbeton C35/45,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
66,IfcBeam Stahlbeton C35/45 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
67,IfcBeam Stahlbeton C35/45 PRECAST,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
68,IfcBeam Stahlbeton C40/50,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
69,IfcBeam Stahlbeton C40/50 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
70,IfcBeam Stahlbeton C40/50 PRECAST,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
71,IfcBeam Stahlbeton NPK D,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
72,IfcBeam Stahlbeton NPK D C20/25 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
73,IfcBeam Stahlbeton NPK E,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
74,IfcBeam Stahlbeton NPK E C25/30 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
75,IfcBeam Stahlbeton NPK E C30/37 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
76,IfcBeam Stahlbeton NPK E C30/37 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
77,IfcBeam Stahlbeton NPK E C35/45 PRECAST,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
78,IfcBeam Stahlbeton NPK F,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
79,IfcBeam Stahlbeton NPK F C20/25 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
80,IfcBeam Stahlbeton NPK F C25/30 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
81,IfcBeam Stahlbeton NPK F C40/50 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
82,IfcBeam Stahlbeton NPK F C40/50 PRECAST,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
83,IfcBeam Stahlbeton NPK G,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
84,IfcBeam Stahlbeton NPK G C35/45 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
85,IfcBeam Tanne,Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau,Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau,unchanged,non-empty
86,IfcBeam BEAM S235,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
87,IfcBeam BEAM S355,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
88,IfcBeam BEAM S460,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
89,IfcBeam BEAM Beton,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
90,IfcBeam BEAM Beton Fertigteil,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
91,IfcBeam BEAM Beton INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
92,IfcBeam BEAM Beton Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
93,IfcBeam BEAM Beton PRECAST,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
94,IfcBeam BEAM Beton C20/25,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
95,IfcBeam BEAM Beton C20/25 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
96,IfcBeam BEAM Beton C20/25 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
97,IfcBeam BEAM Beton C25/30,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
98,IfcBeam BEAM Beton C25/30 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
99,IfcBeam BEAM Beton C25/30 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
100,IfcBeam BEAM Beton C30/37,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
101,IfcBeam BEAM Beton C30/37 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
102,IfcBeam BEAM Beton C30/37 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
103,IfcBeam BEAM Beton C35/45,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
104,IfcBeam BEAM Beton C35/45 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
105,IfcBeam BEAM Beton C35/45 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
106,IfcBeam BEAM Beton C40/50,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
107,IfcBeam BEAM Beton C40/50 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
108,IfcBeam BEAM Beton C40/50 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
109,IfcBeam BEAM Beton NPK D,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
110,IfcBeam BEAM Beton NPK D C20/25 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
111,IfcBeam BEAM Beton NPK D C35/45 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
112,IfcBeam BEAM Beton NPK D C40/50 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
113,IfcBeam BEAM Beton NPK E,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
114,IfcBeam BEAM Beton NPK E C30/37 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
115,IfcBeam BEAM Beton NPK E C35/45 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
116,IfcBeam BEAM Beton NPK F,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
117,IfcBeam BEAM Beton NPK F C25/30 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
118,IfcBeam BEAM Beton NPK F C25/30 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
119,IfcBeam BEAM Beton NPK F C30/37 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
120,IfcBeam BEAM Beton NPK F C40/50 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
121,IfcBeam BEAM Beton NPK G,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
122,IfcBeam BEAM Beton NPK G C20/25 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
123,IfcBeam BEAM Buche,Massivholz Buche Eiche kammergetrocknet gehobelt | Massivholz Buche Eiche kammergetrocknet rau | Massivholz Buche Eiche luftgetrocknet rau,Massivholz Buche Eiche kammergetrocknet gehobelt | Massivholz Buche Eiche kammergetrocknet rau | Massivholz Buche Eiche luftgetrocknet rau,unchanged,non-empty
124,IfcBeam BEAM Eiche,Massivholz Buche Eiche kammergetrocknet gehobelt | Massivholz Buche Eiche kammergetrocknet rau | Massivholz Buche Eiche luftgetrocknet rau,Massivholz Buche Eiche kammergetrocknet gehobelt | Massivholz Buche Eiche kammergetrocknet rau | Massivholz Buche Eiche luftgetrocknet rau,unchanged,non-empty
125,IfcBeam BEAM Fichte,Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau,Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau,unchanged,non-empty
126,IfcBeam BEAM Holz,Balkenschichtholz | Brettschichtholz | Brettsperrholz | Konstruktionsvollholz,Balkenschichtholz | Brettschichtholz | Brettsperrholz | Konstruktionsvollholz,unchanged,non-empty
127,IfcBeam BEAM Lärche,Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau,Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau,unchanged,non-empty
128,IfcBeam BEAM Stahl,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
129,IfcBeam BEAM Stahl S235,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
130,IfcBeam BEAM Stahl S235J0,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
131,IfcBeam BEAM Stahl S235JR,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
132,IfcBeam BEAM Stahl S355,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
133,IfcBeam BEAM Stahl S355J0,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
134,IfcBeam BEAM Stahl S355JR,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
135,IfcBeam BEAM Stahl S460,Stahlprofil blank,Stahlprofil blank,unchanged,non-empty
136,IfcBeam BEAM Stahlbeton,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
137,IfcBeam BEAM Stahlbeton Fertigteil,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
138,IfcBeam BEAM Stahlbeton INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
139,IfcBeam BEAM Stahlbeton Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
140,IfcBeam BEAM Stahlbeton PRECAST,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
141,IfcBeam BEAM Stahlbeton C20/25,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
142,IfcBeam BEAM Stahlbeton C20/25 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
143,IfcBeam BEAM Stahlbeton C20/25 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
144,IfcBeam BEAM Stahlbeton C25/30,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
145,IfcBeam BEAM Stahlbeton C25/30 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
146,IfcBeam BEAM Stahlbeton C25/30 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
147,IfcBeam BEAM Stahlbeton C30/37,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
148,IfcBeam BEAM Stahlbeton C30/37 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
149,IfcBeam BEAM Stahlbeton C30/37 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
150,IfcBeam BEAM Stahlbeton C35/45,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
151,IfcBeam BEAM Stahlbeton C35/45 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
152,IfcBeam BEAM Stahlbeton C35/45 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
153,IfcBeam BEAM Stahlbeton C40/50,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
154,IfcBeam BEAM Stahlbeton C40/50 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
155,IfcBeam BEAM Stahlbeton C40/50 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
156,IfcBeam BEAM Stahlbeton NPK D,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
157,IfcBeam BEAM Stahlbeton NPK D C20/25 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
158,IfcBeam BEAM Stahlbeton NPK D C20/25 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
159,IfcBeam BEAM Stahlbeton NPK D C30/37 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
160,IfcBeam BEAM Stahlbeton NPK D C40/50 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
161,IfcBeam BEAM Stahlbeton NPK E,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
162,IfcBeam BEAM Stahlbeton NPK E C30/37 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
163,IfcBeam BEAM Stahlbeton NPK E C35/45 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
164,IfcBeam BEAM Stahlbeton NPK F,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
165,IfcBeam BEAM Stahlbeton NPK F C25/30 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
166,IfcBeam BEAM Stahlbeton NPK F C25/30 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
167,IfcBeam BEAM Stahlbeton NPK F C40/50 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
168,IfcBeam BEAM Stahlbeton NPK G,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
169,IfcBeam BEAM Stahlbeton NPK G C35/45 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
170,IfcBeam BEAM Tanne,Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau,Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau,unchanged,non-empty
171,IfcBeam CORNICE Beton,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
172,IfcBeam CORNICE Beton Fertigteil,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
173,IfcBeam CORNICE Beton INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
174,IfcBeam CORNICE Beton Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
175,IfcBeam CORNICE Beton PRECAST,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
176,IfcBeam CORNICE Beton C20/25,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
177,IfcBeam CORNICE Beton C20/25 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
178,IfcBeam CORNICE Beton C20/25 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
179,IfcBeam CORNICE Beton C25/30,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
180,IfcBeam CORNICE Beton C25/30 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
181,IfcBeam CORNICE Beton C25/30 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
182,IfcBeam CORNICE Beton C30/37,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
183,IfcBeam CORNICE Beton C30/37 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
184,IfcBeam CORNICE Beton C30/37 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
185,IfcBeam CORNICE Beton C35/45,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
186,IfcBeam CORNICE Beton C35/45 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
187,IfcBeam CORNICE Beton C35/45 PRECAST,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
188,IfcBeam CORNICE Beton C40/50,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
189,IfcBeam CORNICE Beton C40/50 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
190,IfcBeam CORNICE Beton C40/50 PRECAST,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
191,IfcBeam CORNICE Beton NPK D,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
192,IfcBeam CORNICE Beton NPK D C25/30 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
193,IfcBeam CORNICE Beton NPK D C30/37 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
194,IfcBeam CORNICE Beton NPK D C35/45 PRECAST,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
195,IfcBeam CORNICE Beton NPK E,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
196,IfcBeam CORNICE Beton NPK E C20/25 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
197,IfcBeam CORNICE Beton NPK E C30/37 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
198,IfcBeam CORNICE Beton NPK E C40/50 PRECAST,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
199,IfcBeam CORNICE Beton NPK G,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
200,IfcBeam CORNICE Beton NPK G C20/25 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
